458.00000 0.22905 464.00000 0.11452
460.38437 0.00307 466.38437 0.00153
463.57526 0.00076 469.57526 0.00038
464.64975 0.00674 470.64975 0.00337
465.44049 0.00019 471.44049 0.00010
466.02194 0.00013 472.02194 0.00007
469.90491 0.00105 475.90491 0.00052
470.34430 0.00070 476.34430 0.00035
470.65323 0.00377 476.65323 0.00189
470.67520 0.00009 476.67520 0.00005
471.48877 0.01101 477.48877 0.00551
471.83118 0.00112 477.83118 0.00056
472.35162 0.00035 478.35162 0.00018
472.73941 0.00019 478.73941 0.00010
474.37473 0.00103 480.37473 0.00052
474.68680 0.00014 480.68680 0.00007
477.54669 0.00016 483.54669 0.00008
478.41827 0.00004 484.41827 0.00002
479.35297 0.00013 485.35297 0.00006
483.79004 0.00015 489.79004 0.00008
