448.80002 0.00468 0.00178 0.00468 0.00468
448.89999 0.00475 0.00180 0.00475 0.00475
449.00000 0.00483 0.00181 0.00483 0.00483
449.10001 0.00490 0.00183 0.00490 0.00490
449.20001 0.00498 0.00184 0.00498 0.00498
449.30002 0.00506 0.00186 0.00506 0.00506
449.39999 0.00514 0.00188 0.00514 0.00514
449.50000 0.00522 0.00189 0.00522 0.00522
449.60001 0.00531 0.00191 0.00531 0.00531
449.70001 0.00539 0.00192 0.00539 0.00539
449.80002 0.00548 0.00194 0.00548 0.00548
449.89999 0.00556 0.00195 0.00556 0.00556
450.00000 0.00565 0.00197 0.00565 0.00565
450.10001 0.00575 0.00199 0.00575 0.00575
450.20001 0.00584 0.00200 0.00584 0.00584
450.30002 0.00593 0.00202 0.00593 0.00593
450.39999 0.00603 0.00203 0.00603 0.00603
450.50000 0.00613 0.00205 0.00613 0.00613
450.60001 0.00623 0.00206 0.00623 0.00623
450.70001 0.00633 0.00207 0.00633 0.00633
450.80002 0.00643 0.00208 0.00643 0.00643
450.89999 0.00653 0.00209 0.00653 0.00653
451.00000 0.00663 0.00210 0.00663 0.00663
451.10001 0.00674 0.00211 0.00674 0.00674
451.20001 0.00685 0.00212 0.00685 0.00685
451.30002 0.00698 0.00215 0.00698 0.00698
451.39999 0.00711 0.00217 0.00711 0.00711
451.50000 0.00725 0.00220 0.00725 0.00725
451.60001 0.00739 0.00223 0.00739 0.00739
451.70001 0.00753 0.00225 0.00753 0.00753
451.80002 0.00767 0.00227 0.00767 0.00767
451.89999 0.00781 0.00229 0.00781 0.00781
452.00000 0.00796 0.00232 0.00796 0.00796
452.10001 0.00811 0.00234 0.00811 0.00811
452.20001 0.00827 0.00237 0.00827 0.00827
452.30002 0.00845 0.00240 0.00845 0.00845
452.39999 0.00862 0.00243 0.00862 0.00862
452.50000 0.00880 0.00246 0.00880 0.00880
452.60001 0.00899 0.00250 0.00899 0.00899
452.70001 0.00919 0.00253 0.00919 0.00919
452.80002 0.00939 0.00257 0.00939 0.00939
452.89999 0.00960 0.00261 0.00960 0.00960
