E,I32,I12,Ibg,Itot
856.911679,0.088191,0.000328,0.075178,0.163697
856.981298,0.080495,0.000333,0.076055,0.156883
857.050916,0.073749,0.000338,0.076754,0.150841
857.120535,0.067850,0.000343,0.077427,0.145620
857.190154,0.062707,0.000348,0.078246,0.141302
857.259773,0.058235,0.000353,0.079512,0.138101
857.329391,0.054357,0.000358,0.080757,0.135473
857.399010,0.051007,0.000364,0.083299,0.134670
857.468629,0.048124,0.000369,0.084553,0.133045
857.538247,0.045655,0.000374,0.084924,0.130953
857.607866,0.043555,0.000379,0.085295,0.129230
857.677485,0.041786,0.000385,0.085666,0.127837
857.747104,0.040315,0.000390,0.086133,0.126839
857.816722,0.039113,0.000396,0.086631,0.126140
857.886341,0.038158,0.000402,0.087118,0.125678
857.955960,0.037433,0.000407,0.087534,0.125374
858.025579,0.036922,0.000413,0.087949,0.125285
858.095197,0.036617,0.000419,0.088376,0.125411
858.164816,0.036509,0.000425,0.089032,0.125966
858.234435,0.036596,0.000431,0.089642,0.126669
858.304054,0.036877,0.000437,0.090142,0.127456
858.373672,0.037354,0.000443,0.090619,0.128416
858.443291,0.038033,0.000449,0.090887,0.129369
858.512910,0.038921,0.000455,0.091154,0.130531
858.582528,0.040029,0.000461,0.091422,0.131912
858.652147,0.041370,0.000468,0.091693,0.133531
858.721766,0.042960,0.000474,0.091990,0.135425
858.791385,0.044817,0.000481,0.092288,0.137585
858.861003,0.046962,0.000487,0.092585,0.140034
858.930622,0.049417,0.000494,0.092910,0.142821
859.000241,0.052210,0.000501,0.093252,0.145963
859.069860,0.055366,0.000508,0.093595,0.149469
859.139478,0.058916,0.000515,0.093900,0.153331
859.209097,0.062890,0.000522,0.094173,0.157585
859.278716,0.067320,0.000529,0.094446,0.162296
859.348334,0.072239,0.000536,0.094719,0.167494
859.417953,0.077678,0.000543,0.095140,0.173362
859.487572,0.083669,0.000551,0.095670,0.179890
859.557191,0.090240,0.000558,0.096149,0.186948
859.626809,0.097419,0.000566,0.096543,0.194528
859.696428,0.105227,0.000574,0.096936,0.202737
859.766047,0.113682,0.000582,0.097323,0.211586
859.835666,0.122795,0.000589,0.097692,0.221076
859.905284,0.132568,0.000597,0.098061,0.231226
859.974903,0.142995,0.000606,0.098430,0.242030
860.044522,0.154059,0.000614,0.098847,0.253520
860.114140,0.165734,0.000622,0.099277,0.265634
860.183759,0.177979,0.000631,0.099707,0.278317
860.253378,0.190741,0.000639,0.101352,0.292733
860.322997,0.203954,0.000648,0.101762,0.306363
860.392615,0.217537,0.000657,0.102171,0.320364
860.462234,0.231395,0.000666,0.102581,0.334642
860.531853,0.245423,0.000675,0.104306,0.350404
860.601472,0.259502,0.000684,0.104687,0.364872
860.671090,0.273500,0.000693,0.105067,0.379261
860.740709,0.287281,0.000703,0.105448,0.393432
860.810328,0.300699,0.000712,0.105953,0.407364
860.879946,0.313605,0.000722,0.106690,0.421017
860.949565,0.325848,0.000732,0.107412,0.433992
861.019184,0.337280,0.000742,0.108046,0.446067
861.088803,0.347756,0.000752,0.108679,0.457187
861.158421,0.357142,0.000762,0.109204,0.467108
861.228040,0.365312,0.000772,0.109630,0.475714
861.297659,0.372157,0.000783,0.110056,0.482995
861.367278,0.377584,0.000794,0.110481,0.488859
861.436896,0.381520,0.000805,0.110975,0.493300
861.506515,0.383913,0.000816,0.111521,0.496250
861.576134,0.384734,0.000827,0.112068,0.497629
861.645753,0.383976,0.000838,0.112584,0.497399
861.715371,0.381659,0.000850,0.113068,0.495577
861.784990,0.377824,0.000862,0.113552,0.492238
861.854609,0.372535,0.000874,0.114036,0.487445
861.924227,0.365877,0.000886,0.114462,0.481225
861.993846,0.357955,0.000898,0.114886,0.473739
862.063465,0.348888,0.000910,0.115310,0.465108
862.133084,0.338811,0.000923,0.115734,0.455468
862.202702,0.327869,0.000936,0.116468,0.445273
862.272321,0.316215,0.000949,0.117202,0.434366
862.341940,0.304004,0.000962,0.118041,0.423008
862.411559,0.291395,0.000976,0.118923,0.411294
862.481177,0.278545,0.000990,0.120116,0.399650
862.550796,0.265606,0.001004,0.120941,0.387551
862.620415,0.252722,0.001018,0.121631,0.375371
862.690033,0.240031,0.001032,0.122238,0.363302
862.759652,0.227659,0.001047,0.122772,0.351479
862.829271,0.215720,0.001062,0.123307,0.340089
862.898890,0.204317,0.001077,0.123680,0.329074
862.968508,0.193538,0.001092,0.124034,0.318664
863.038127,0.183459,0.001108,0.124387,0.308955
863.107746,0.174143,0.001124,0.124741,0.300008
863.177365,0.165641,0.001140,0.125219,0.292000
863.246983,0.157991,0.001157,0.125705,0.284853
863.316602,0.151220,0.001174,0.126139,0.278533
863.386221,0.145345,0.001191,0.126451,0.272987
863.455839,0.140374,0.001208,0.126763,0.268345
863.525458,0.136305,0.001226,0.127075,0.264606
863.595077,0.133130,0.001244,0.127382,0.261755
863.664696,0.130831,0.001262,0.127677,0.259771
863.734314,0.129388,0.001281,0.127973,0.258642
863.803933,0.128771,0.001300,0.128269,0.258340
863.873552,0.128947,0.001319,0.128616,0.258883
863.943171,0.129877,0.001339,0.129045,0.260262
864.012789,0.131516,0.001359,0.129475,0.262351
864.082408,0.133817,0.001380,0.129949,0.265145
864.152027,0.136724,0.001401,0.130438,0.268563
864.221645,0.140180,0.001422,0.130845,0.272448
864.291264,0.144123,0.001444,0.131183,0.276750
864.360883,0.148484,0.001466,0.131521,0.281471
864.430502,0.153194,0.001488,0.131850,0.286533
864.500120,0.158175,0.001512,0.132171,0.291858
864.569739,0.163351,0.001535,0.132492,0.297378
864.639358,0.168639,0.001559,0.132805,0.303003
864.708977,0.173956,0.001583,0.133108,0.308647
864.778595,0.179217,0.001608,0.133410,0.314236
864.848214,0.184338,0.001634,0.133685,0.319656
864.917833,0.189234,0.001660,0.133896,0.324790
864.987452,0.193823,0.001686,0.134108,0.329618
865.057070,0.198028,0.001714,0.134320,0.334062
865.126689,0.201774,0.001741,0.134540,0.338056
865.196308,0.204994,0.001770,0.134776,0.341539
865.265926,0.207627,0.001799,0.135011,0.344437
865.335545,0.209621,0.001828,0.135247,0.346696
865.405164,0.210933,0.001858,0.135499,0.348291
865.474783,0.211531,0.001889,0.135754,0.349174
865.544401,0.211392,0.001921,0.136009,0.349322
865.614020,0.210506,0.001953,0.136230,0.348689
865.683639,0.208872,0.001986,0.136440,0.347298
865.753258,0.206502,0.002020,0.136650,0.345172
865.822876,0.203418,0.002054,0.136844,0.342316
865.892495,0.199651,0.002090,0.136988,0.338728
865.962114,0.195243,0.002126,0.137131,0.334500
866.031732,0.190243,0.002163,0.137274,0.329681
866.101351,0.184707,0.002201,0.137418,0.324326
866.170970,0.178696,0.002240,0.137542,0.318478
866.240589,0.172276,0.002280,0.137636,0.312192
866.310207,0.165515,0.002321,0.137731,0.305567
866.379826,0.158484,0.002363,0.137825,0.298671
866.449445,0.151251,0.002406,0.137920,0.291576
866.519064,0.143884,0.002450,0.138014,0.284348
866.588682,0.136450,0.002495,0.138108,0.277054
866.658301,0.129011,0.002541,0.138231,0.269783
866.727920,0.121624,0.002589,0.138403,0.262616
866.797538,0.114341,0.002638,0.138575,0.255554
866.867157,0.107209,0.002688,0.138747,0.248645
866.936776,0.100270,0.002740,0.138946,0.241956
867.006395,0.093557,0.002793,0.139184,0.235534
867.076013,0.087100,0.002847,0.139421,0.229368
867.145632,0.080920,0.002904,0.139601,0.223425
867.215251,0.075036,0.002961,0.139763,0.217760
867.284870,0.069457,0.003021,0.139926,0.212403
867.354488,0.064190,0.003082,0.140089,0.207360
867.424107,0.059237,0.003145,0.140255,0.202637
867.493726,0.054596,0.003209,0.140423,0.198229
867.563344,0.050262,0.003276,0.140591,0.194129
867.632963,0.046227,0.003345,0.140762,0.190334
867.702582,0.042479,0.003416,0.140944,0.186838
867.772201,0.039006,0.003489,0.141125,0.183620
867.841819,0.035795,0.003565,0.141297,0.180656
867.911438,0.032831,0.003643,0.141433,0.177906
867.981057,0.030098,0.003723,0.141569,0.175390
868.050676,0.027582,0.003806,0.141705,0.173093
868.120294,0.025266,0.003892,0.141850,0.171009
868.189913,0.023137,0.003981,0.142020,0.169139
868.259532,0.021179,0.004073,0.142191,0.167443
868.329151,0.019378,0.004168,0.142356,0.165902
868.398769,0.017721,0.004267,0.142500,0.164489
868.468388,0.016196,0.004369,0.142644,0.163210
868.538007,0.014792,0.004475,0.142789,0.162056
868.607625,0.013496,0.004585,0.143012,0.161093
868.677244,0.012300,0.004699,0.143274,0.160273
868.746863,0.011194,0.004818,0.143416,0.159428
868.816482,0.010170,0.004941,0.143546,0.158657
868.886100,0.009221,0.005069,0.143675,0.157965
868.955719,0.008339,0.005202,0.143802,0.157343
869.025338,0.007519,0.005340,0.143926,0.156785
869.094957,0.006754,0.005485,0.144050,0.156288
869.164575,0.006040,0.005635,0.144173,0.155848
869.234194,0.005372,0.005792,0.144276,0.155440
869.303813,0.004747,0.005956,0.144376,0.155078
869.373431,0.004159,0.006127,0.144476,0.154763
869.443050,0.003608,0.006306,0.144576,0.154490
869.512669,0.003088,0.006494,0.144689,0.154271
869.582288,0.002598,0.006690,0.144817,0.154105
869.651906,0.002135,0.006896,0.144945,0.153976
869.721525,0.001698,0.007113,0.145072,0.153883
869.791144,0.001283,0.007340,0.145190,0.153813
869.860763,0.000890,0.007580,0.145306,0.153776
869.930381,0.000517,0.007832,0.145423,0.153772
870.000000,0.000162,0.008098,0.145540,0.153800
