E,Id,Ip,Ioct,Itot,Ibg
4.367893,0.116762,0.141056,0.741475,0.999292,nan
4.424749,0.109187,0.129598,0.755542,0.994322,nan
4.481605,0.101851,0.117675,0.766116,0.985630,nan
4.538462,0.095032,0.105691,0.773132,0.973836,nan
4.595318,0.089018,0.094019,0.776595,0.959601,nan
4.652174,0.084087,0.082980,0.776579,0.943602,nan
4.709030,0.080503,0.072834,0.773225,0.926505,nan
4.765886,0.078509,0.063778,0.766734,0.908949,nan
4.822742,0.078326,0.055939,0.757362,0.891542,nan
4.879599,0.080149,0.049386,0.745412,0.874849,nan
4.936455,0.084149,0.044133,0.731219,0.859391,nan
4.993311,0.090475,0.040149,0.715143,0.845647,nan
5.050167,0.099246,0.037368,0.697558,0.834043,nan
5.107023,0.110553,0.035695,0.678836,0.824947,nan
5.163880,0.124451,0.035018,0.659337,0.818665,nan
5.220736,0.140958,0.035207,0.639403,0.815424,nan
5.277592,0.160041,0.036126,0.619342,0.815364,nan
5.334448,0.181614,0.037628,0.599426,0.818526,nan
5.391304,0.205530,0.039568,0.579883,0.824843,nan
5.448161,0.231577,0.041796,0.560894,0.834138,nan
5.505017,0.259474,0.044169,0.542594,0.846116,nan
5.561873,0.288865,0.046548,0.525067,0.860371,nan
5.618729,0.319327,0.048806,0.508354,0.876391,nan
5.675585,0.350366,0.050830,0.492455,0.893568,nan
5.732441,0.381422,0.052525,0.477334,0.911212,nan
5.789298,0.411880,0.053820,0.462925,0.928569,nan
5.846154,0.441081,0.054666,0.449139,0.944843,nan
5.903010,0.468336,0.055040,0.435872,0.959216,nan
5.959866,0.492949,0.054943,0.423011,0.970881,nan
6.016722,0.514247,0.054398,0.410443,0.979071,nan
6.073579,0.531604,0.053449,0.398056,0.983095,nan
6.130435,0.544483,0.052157,0.385747,0.982373,nan
6.187291,0.552471,0.050594,0.373427,0.976474,nan
6.244147,0.555308,0.048841,0.361024,0.965146,nan
6.301003,0.552924,0.046985,0.348480,0.948348,nan
6.357860,0.545453,0.045115,0.335758,0.926268,nan
6.414716,0.533243,0.043323,0.322839,0.899327,nan
6.471572,0.516853,0.041702,0.309723,0.868175,nan
6.528428,0.497029,0.040348,0.296422,0.833670,nan
6.585284,0.474674,0.039361,0.282966,0.796843,nan
6.642140,0.450799,0.038847,0.269396,0.758854,nan
6.698997,0.426473,0.038919,0.255761,0.720935,nan
6.755853,0.402760,0.039699,0.242117,0.684331,nan
6.812709,0.380666,0.041321,0.228527,0.650240,nan
6.869565,0.361077,0.043924,0.215052,0.619756,nan
6.926421,0.344720,0.047654,0.201757,0.593814,nan
6.983278,0.332121,0.052657,0.188703,0.573148,nan
7.040134,0.323585,0.059072,0.175948,0.558260,nan
7.096990,0.319182,0.067019,0.163548,0.549397,nan
7.153846,0.318755,0.076587,0.151550,0.546538,nan
7.210702,0.321933,0.087825,0.139999,0.549405,nan
7.267559,0.328161,0.100723,0.128931,0.557470,nan
7.324415,0.336742,0.115200,0.118377,0.569984,nan
7.381271,0.346879,0.131096,0.108362,0.586014,nan
7.438127,0.357726,0.148163,0.098902,0.604482,nan
7.494983,0.368445,0.166064,0.090008,0.624225,nan
7.551839,0.378252,0.184379,0.081687,0.644041,nan
7.608696,0.386464,0.202616,0.073937,0.662754,nan
7.665552,0.392536,0.220229,0.066752,0.679267,nan
7.722408,0.396087,0.236646,0.060123,0.692617,nan
7.779264,0.396918,0.251297,0.054034,0.702017,nan
7.836120,0.395009,0.263646,0.048467,0.706893,nan
7.892977,0.390518,0.273222,0.043399,0.706911,nan
7.949833,0.383752,0.279652,0.038807,0.701978,nan
8.006689,0.375142,0.282680,0.034664,0.692245,nan
8.063545,0.365209,0.282187,0.030941,0.678085,nan
8.120401,0.354517,0.278195,0.027610,0.660058,nan
8.177258,0.343638,0.270869,0.024642,0.638867,nan
8.234114,0.333107,0.260499,0.022006,0.615311,nan
8.290970,0.323384,0.247485,0.019673,0.590222,nan
8.347826,0.314827,0.232307,0.017616,0.564410,nan
8.404682,0.307666,0.215498,0.015807,0.538611,nan
8.461538,0.301990,0.197612,0.014219,0.513441,nan
8.518395,0.297741,0.179192,0.012829,0.489364,nan
8.575251,0.294730,0.160744,0.011614,0.466671,nan
8.632107,0.292645,0.142716,0.010553,0.445481,nan
8.688963,0.291091,0.125485,0.009626,0.425754,nan
8.745819,0.289617,0.109343,0.008817,0.407314,nan
8.802676,0.287763,0.094498,0.008110,0.389895,nan
8.859532,0.285098,0.081080,0.007491,0.373180,nan
8.916388,0.281265,0.069142,0.006948,0.356852,nan
8.973244,0.276008,0.058676,0.006470,0.340639,nan
9.030100,0.269204,0.049624,0.006047,0.324348,nan
9.086957,0.260871,0.041892,0.005673,0.307895,nan
9.143813,0.251173,0.035360,0.005339,0.291320,nan
9.200669,0.240411,0.029898,0.005041,0.274784,nan
9.257525,0.229001,0.025370,0.004772,0.258564,nan
9.314381,0.217442,0.021645,0.004529,0.243025,nan
9.371237,0.206289,0.018600,0.004308,0.228594,nan
9.428094,0.196108,0.016125,0.004105,0.215727,nan
9.484950,0.187445,0.014124,0.003919,0.204868,nan
9.541806,0.180786,0.012513,0.003748,0.196420,nan
9.598662,0.176531,0.011222,0.003588,0.190710,nan
9.655518,0.174962,0.010195,0.003440,0.187963,nan
9.712375,0.176233,0.009383,0.003301,0.188284,nan
9.769231,0.180351,0.008746,0.003171,0.191637,nan
9.826087,0.187173,0.008253,0.003049,0.197849,nan
9.882943,0.196414,0.007876,0.002933,0.206604,nan
9.939799,0.207651,0.007591,0.002824,0.217455,nan
9.996656,0.220348,0.007378,0.002720,0.229845,nan
10.053512,0.233881,0.007218,0.002622,0.243130,nan
10.110368,0.247570,0.007094,0.002528,0.256613,nan
10.167224,0.260721,0.006992,0.002439,0.269583,nan
10.224080,0.272665,0.006898,0.002354,0.281357,nan
10.280936,0.282800,0.006801,0.002273,0.291320,nan
10.337793,0.290628,0.006691,0.002195,0.298967,nan
10.394649,0.295789,0.006562,0.002121,0.303928,nan
10.451505,0.298082,0.006408,0.002049,0.305998,nan
10.508361,0.297475,0.006228,0.001981,0.305141,nan
10.565217,0.294101,0.006021,0.001915,0.301492,nan
10.622074,0.288248,0.005790,0.001852,0.295340,nan
10.678930,0.280329,0.005538,0.001791,0.287101,nan
10.735786,0.270850,0.005271,0.001732,0.277289,nan
10.792642,0.260376,0.004993,0.001676,0.266473,nan
10.849498,0.249488,0.004711,0.001622,0.255240,nan
10.906355,0.238751,0.004432,0.001569,0.244162,nan
10.963211,0.228681,0.004159,0.001519,0.233760,nan
11.020067,0.219723,0.003897,0.001470,0.224485,nan
11.076923,0.212238,0.003650,0.001423,0.216699,nan
11.133779,0.206489,0.003419,0.001377,0.210670,nan
11.190635,0.202646,0.003206,0.001333,0.206566,nan
11.247492,0.200782,0.003012,0.001291,0.204463,nan
11.304348,0.200879,0.002835,0.001249,0.204342,nan
11.361204,0.202837,0.002674,0.001210,0.206101,nan
11.418060,0.206475,0.002529,0.001171,0.209558,nan
11.474916,0.211541,0.002398,0.001133,0.214459,nan
11.531773,0.217718,0.002279,0.001097,0.220486,nan
11.588629,0.224634,0.002170,0.001062,0.227263,nan
11.645485,0.231872,0.002070,0.001028,0.234372,nan
11.702341,0.238988,0.001977,0.000995,0.241367,nan
11.759197,0.245528,0.001890,0.000963,0.247794,nan
11.816054,0.251055,0.001808,0.000931,0.253211,nan
11.872910,0.255169,0.001729,0.000901,0.257219,nan
11.929766,0.257537,0.001652,0.000871,0.259483,nan
11.986622,0.257913,0.001578,0.000843,0.259756,nan
12.043478,0.256160,0.001504,0.000815,0.257900,nan
12.100334,0.252260,0.001431,0.000788,0.253897,nan
12.157191,0.246318,0.001359,0.000761,0.247851,nan
12.214047,0.238558,0.001287,0.000736,0.239987,nan
12.270903,0.229309,0.001216,0.000711,0.230635,nan
12.327759,0.218985,0.001147,0.000686,0.220210,nan
12.384615,0.208057,0.001080,0.000663,0.209183,nan
12.441472,0.197026,0.001016,0.000640,0.198056,nan
12.498328,0.186391,0.000956,0.000617,0.187330,nan
12.555184,0.176619,0.000900,0.000595,0.177472,nan
12.612040,0.168122,0.000849,0.000574,0.168896,nan
12.668896,0.161232,0.000804,0.000553,0.161935,nan
12.725753,0.156189,0.000764,0.000533,0.156828,nan
12.782609,0.153126,0.000730,0.000513,0.153709,nan
12.839465,0.152067,0.000703,0.000493,0.152601,nan
12.896321,0.152924,0.000680,0.000474,0.153418,nan
12.953177,0.155507,0.000663,0.000456,0.155968,nan
13.010033,0.159533,0.000651,0.000438,0.159966,nan
13.066890,0.164640,0.000642,0.000420,0.165051,nan
13.123746,0.170407,0.000635,0.000403,0.170799,nan
13.180602,0.176378,0.000631,0.000386,0.176752,nan
13.237458,0.182084,0.000627,0.000370,0.182443,nan
13.294314,0.187076,0.000622,0.000354,0.187418,nan
13.351171,0.190943,0.000617,0.000338,0.191267,nan
13.408027,0.193340,0.000609,0.000323,0.193643,nan
13.464883,0.194008,0.000598,0.000308,0.194285,nan
13.521739,0.192784,0.000584,0.000293,0.193032,nan
13.578595,0.189612,0.000567,0.000279,0.189826,nan
13.635452,0.184542,0.000546,0.000265,0.184716,nan
13.692308,0.177719,0.000521,0.000251,0.177849,nan
13.749164,0.169375,0.000493,0.000237,0.169457,nan
13.806020,0.159803,0.000462,0.000224,0.159833,nan
13.862876,0.149341,0.000429,0.000211,0.149318,nan
13.919732,0.138347,0.000395,0.000198,0.138269,nan
13.976589,0.127175,0.000361,0.000186,0.127040,nan
14.033445,0.116154,0.000326,0.000174,0.115964,nan
14.090301,0.105577,0.000292,0.000162,0.105333,nan
14.147157,0.095684,0.000259,0.000150,0.095387,nan
14.204013,0.086658,0.000227,0.000139,0.086311,nan
14.260870,0.078620,0.000198,0.000128,0.078226,nan
14.317726,0.071635,0.000171,0.000117,0.071198,nan
14.374582,0.065713,0.000146,0.000106,0.065235,nan
14.431438,0.060819,0.000123,0.000095,0.060304,nan
14.488294,0.056880,0.000102,0.000085,0.056331,nan
14.545151,0.053796,0.000084,0.000075,0.053216,nan
14.602007,0.051447,0.000068,0.000065,0.050839,nan
14.658863,0.049707,0.000054,0.000055,0.049074,nan
14.715719,0.048448,0.000041,0.000045,0.047792,nan
14.772575,0.047546,0.000030,0.000036,0.046869,nan
14.829431,0.046890,0.000021,0.000027,0.046194,nan
14.886288,0.046386,0.000013,0.000018,0.045671,nan
14.943144,0.045953,0.000006,0.000009,0.045223,nan
15.000000,0.045533,0.000000,0.000000,0.044788,nan
