E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-6.622074,0.162604,-0.004046,0.108968,-0.000311,3.815140,-3.815140,4.086712,-3.819497
-6.541806,0.165942,-0.004165,0.113554,-0.000320,3.877925,-3.877925,4.157421,-3.882410
-6.461538,0.169536,-0.004287,0.118410,-0.000330,3.934651,-3.934651,4.222597,-3.939268
-6.381271,0.173381,-0.004412,0.123551,-0.000340,3.985589,-3.985589,4.282521,-3.990341
-6.301003,0.177471,-0.004540,0.128993,-0.000350,4.030912,-4.030912,4.337376,-4.035802
-6.220736,0.181801,-0.004673,0.134753,-0.000360,4.070654,-4.070654,4.387208,-4.075687
-6.140468,0.186364,-0.004809,0.140848,-0.000371,4.104690,-4.104690,4.431902,-4.109870
-6.060201,0.191153,-0.004948,0.147295,-0.000382,4.132714,-4.132714,4.471161,-4.138044
-5.979933,0.196160,-0.005092,0.154113,-0.000393,4.154239,-4.154239,4.504512,-4.159725
-5.899666,0.201377,-0.005240,0.161319,-0.000404,4.168619,-4.168619,4.531315,-4.174264
-5.819398,0.206795,-0.005393,0.168930,-0.000416,4.175069,-4.175069,4.550795,-4.180878
-5.739130,0.212404,-0.005550,0.176964,-0.000429,4.172713,-4.172713,4.562082,-4.178692
-5.658863,0.218192,-0.005712,0.185436,-0.000441,4.160633,-4.160633,4.564260,-4.166786
-5.578595,0.224146,-0.005878,0.194359,-0.000454,4.137925,-4.137925,4.556430,-4.144258
-5.498328,0.230252,-0.006050,0.203745,-0.000468,4.103764,-4.103764,4.537760,-4.110281
-5.418060,0.236493,-0.006227,0.213602,-0.000482,4.057456,-4.057456,4.507551,-4.064165
-5.337793,0.242850,-0.006410,0.223936,-0.000496,3.998500,-3.998500,4.465286,-4.005406
-5.257525,0.249303,-0.006599,0.234747,-0.000511,3.926621,-3.926621,4.410671,-3.933730
-5.177258,0.255829,-0.006793,0.246029,-0.000526,3.841813,-3.841813,4.343671,-3.849132
-5.096990,0.262401,-0.006994,0.257772,-0.000542,3.744352,-3.744352,4.264526,-3.751888
-5.016722,0.268992,-0.007202,0.269957,-0.000558,3.634804,-3.634804,4.173753,-3.642564
-4.936455,0.275569,-0.007417,0.282560,-0.000575,3.514013,-3.514013,4.072142,-3.522005
-4.856187,0.282099,-0.007639,0.295548,-0.000592,3.383081,-3.383081,3.960727,-3.391312
-4.775920,0.288546,-0.007868,0.308878,-0.000610,3.243329,-3.243329,3.840753,-3.251808
-4.695652,0.294872,-0.008106,0.322500,-0.000629,3.096261,-3.096261,3.713633,-3.104996
-4.615385,0.301037,-0.008352,0.336358,-0.000648,2.943506,-2.943506,3.580901,-2.952506
-4.535117,0.307001,-0.008607,0.350386,-0.000668,2.786770,-2.786770,3.444157,-2.796045
-4.454849,0.312722,-0.008871,0.364513,-0.000689,2.627778,-2.627778,3.305014,-2.637338
-4.374582,0.318160,-0.009145,0.378663,-0.000710,2.468228,-2.468228,3.165051,-2.478083
-4.294314,0.323276,-0.009429,0.392756,-0.000733,2.309735,-2.309735,3.025766,-2.319897
-4.214047,0.328030,-0.009724,0.406711,-0.000756,2.153800,-2.153800,2.888542,-2.164280
-4.133779,0.332390,-0.010030,0.420451,-0.000780,2.001770,-2.001770,2.754611,-2.012579
-4.053512,0.336323,-0.010348,0.433900,-0.000805,1.854816,-1.854816,2.625039,-1.865968
-3.973244,0.339805,-0.010678,0.446988,-0.000831,1.713917,-1.713917,2.500710,-1.725426
-3.892977,0.342815,-0.011022,0.459654,-0.000857,1.579854,-1.579854,2.382323,-1.591734
-3.812709,0.345338,-0.011380,0.471849,-0.000885,1.453210,-1.453210,2.270398,-1.465475
-3.732441,0.347368,-0.011752,0.483533,-0.000915,1.334377,-1.334377,2.165277,-1.347044
-3.652174,0.348903,-0.012141,0.494679,-0.000945,1.223568,-1.223568,2.067150,-1.236654
-3.571906,0.349952,-0.012545,0.505271,-0.000977,1.120839,-1.120839,1.976062,-1.134361
-3.491639,0.350526,-0.012968,0.515307,-0.001010,1.026105,-1.026105,1.891937,-1.040082
-3.411371,0.350646,-0.013409,0.524792,-0.001044,0.939161,-0.939161,1.814600,-0.953614
-3.331104,0.350339,-0.013870,0.533740,-0.001080,0.859711,-0.859711,1.743789,-0.874661
-3.250836,0.349633,-0.014352,0.542169,-0.001118,0.787382,-0.787382,1.679184,-0.802851
-3.170569,0.348565,-0.014856,0.550099,-0.001157,0.721749,-0.721749,1.620413,-0.737761
-3.090301,0.347172,-0.015384,0.557548,-0.001198,0.662354,-0.662354,1.567073,-0.678936
