# E,I32,I12,Ibg,Itot
413.979933,0.016556,0.196386,0.062236,0.275119
414.247492,0.015590,0.254173,0.063230,0.332937
414.515050,0.014694,0.316982,0.064337,0.395962
414.782609,0.013864,0.379437,0.065557,0.458812
415.050167,0.013095,0.434796,0.066896,0.514745
415.317726,0.012383,0.476114,0.068279,0.556737
415.585284,0.011721,0.497704,0.069749,0.579137
415.852843,0.011107,0.496471,0.071265,0.578805
416.120401,0.010536,0.472669,0.072740,0.555906
416.387960,0.010004,0.429847,0.074222,0.514031
416.655518,0.009508,0.373976,0.075594,0.459031
416.923077,0.009045,0.312075,0.076902,0.397970
417.190635,0.008612,0.250768,0.078065,0.337388
417.458194,0.008206,0.195186,0.079148,0.282480
417.725753,0.007825,0.148431,0.080153,0.236346
417.993311,0.007468,0.111616,0.081072,0.200089
418.260870,0.007132,0.084306,0.081909,0.173277
418.528428,0.006816,0.065122,0.082677,0.154544
418.795987,0.006518,0.052312,0.083413,0.142172
419.063545,0.006237,0.044158,0.084101,0.134423
419.331104,0.005972,0.039203,0.084748,0.129850
419.598662,0.005721,0.036327,0.085369,0.127343
419.866221,0.005483,0.034724,0.085946,0.126080
420.133779,0.005258,0.033843,0.086508,0.125536
420.401338,0.005045,0.033318,0.087073,0.125362
420.668896,0.004842,0.032912,0.087581,0.125262
420.936455,0.004650,0.032478,0.088104,0.125158
421.204013,0.004467,0.031933,0.088623,0.124950
421.471572,0.004293,0.031242,0.089092,0.124554
421.739130,0.004128,0.030405,0.089602,0.124061
422.006689,0.003970,0.029445,0.090135,0.123477
422.274247,0.003820,0.028405,0.090620,0.122771
422.541806,0.003676,0.027334,0.091141,0.122078
422.809365,0.003540,0.026283,0.091630,0.121379
423.076923,0.003410,0.025295,0.092130,0.120761
423.344482,0.003285,0.024406,0.092589,0.120207
423.612040,0.003167,0.023637,0.093056,0.119786
423.879599,0.003053,0.022999,0.093556,0.119534
424.147157,0.002945,0.022487,0.094044,0.119402
424.414716,0.002842,0.022090,0.094540,0.119398
424.682274,0.002743,0.021787,0.095041,0.119497
424.949833,0.002649,0.021552,0.095537,0.119663
425.217391,0.002558,0.021357,0.096046,0.119887
425.484950,0.002472,0.021173,0.096533,0.120104
425.752508,0.002389,0.020974,0.097034,0.120322
426.020067,0.002310,0.020736,0.097561,0.120532
426.287625,0.002234,0.020440,0.098085,0.120685
426.555184,0.002161,0.020074,0.098610,0.120770
426.822742,0.002091,0.019629,0.099106,0.120752
427.090301,0.002024,0.019105,0.099644,0.120699
427.357860,0.001960,0.018506,0.100212,0.120603
427.625418,0.001899,0.017838,0.100756,0.120418
427.892977,0.001840,0.017115,0.101285,0.120164
428.160535,0.001783,0.016349,0.101876,0.119934
428.428094,0.001728,0.015556,0.102425,0.119634
428.695652,0.001676,0.014749,0.102992,0.119342
428.963211,0.001625,0.013943,0.103587,0.119080
429.230769,0.001576,0.013148,0.104186,0.118836
429.498328,0.001530,0.012376,0.104781,0.118612
429.765886,0.001485,0.011634,0.105331,0.118374
430.033445,0.001441,0.010926,0.105909,0.118202
430.301003,0.001399,0.010257,0.106489,0.118071
430.568562,0.001359,0.009629,0.107092,0.118005
430.836120,0.001320,0.009042,0.107642,0.117929
431.103679,0.001282,0.008495,0.108209,0.117911
431.371237,0.001246,0.007987,0.108799,0.117957
431.638796,0.001211,0.007516,0.109362,0.118014
431.906355,0.001177,0.007080,0.109921,0.118102
432.173913,0.001144,0.006676,0.110482,0.118226
432.441472,0.001112,0.006301,0.111022,0.118360
432.709030,0.001082,0.005954,0.111538,0.118498
432.976589,0.001052,0.005632,0.112048,0.118656
433.244147,0.001023,0.005332,0.112572,0.118852
433.511706,0.000996,0.005053,0.113096,0.119070
433.779264,0.000969,0.004794,0.113619,0.119306
434.046823,0.000942,0.004552,0.114125,0.119543
434.314381,0.000917,0.004325,0.114617,0.119784
434.581940,0.000892,0.004113,0.115116,0.120047
434.849498,0.000869,0.003915,0.115590,0.120297
435.117057,0.000845,0.003729,0.116085,0.120584
435.384615,0.000823,0.003554,0.116604,0.120905
435.652174,0.000801,0.003389,0.117097,0.121212
435.919732,0.000780,0.003234,0.117570,0.121509
436.187291,0.000759,0.003088,0.118039,0.121811
436.454849,0.000739,0.002951,0.118514,0.122128
436.722408,0.000720,0.002820,0.118963,0.122428
436.989967,0.000701,0.002697,0.119400,0.122723
437.257525,0.000683,0.002581,0.119866,0.123054
437.525084,0.000665,0.002470,0.120325,0.123385
437.792642,0.000647,0.002365,0.120756,0.123693
438.060201,0.000630,0.002266,0.121215,0.124036
438.327759,0.000614,0.002171,0.121657,0.124366
438.595318,0.000598,0.002082,0.122099,0.124702
438.862876,0.000582,0.001996,0.122560,0.125062
439.130435,0.000567,0.001915,0.123035,0.125441
439.397993,0.000552,0.001837,0.123477,0.125790
439.665552,0.000537,0.001763,0.123907,0.126132
439.933110,0.000523,0.001693,0.124347,0.126488
440.200669,0.000510,0.001626,0.124760,0.126819
440.468227,0.000496,0.001562,0.125223,0.127205
440.735786,0.000483,0.001500,0.125688,0.127595
441.003344,0.000470,0.001442,0.126125,0.127961
441.270903,0.000458,0.001386,0.126545,0.128313
441.538462,0.000445,0.001333,0.126991,0.128694
441.806020,0.000433,0.001282,0.127438,0.129077
442.073579,0.000422,0.001233,0.127856,0.129435
442.341137,0.000410,0.001187,0.128308,0.129829
442.608696,0.000399,0.001142,0.128752,0.130218
442.876254,0.000388,0.001100,0.129171,0.130583
443.143813,0.000378,0.001059,0.129632,0.130993
443.411371,0.000367,0.001020,0.130087,0.131398
443.678930,0.000357,0.000983,0.130551,0.131815
443.946488,0.000347,0.000947,0.131036,0.132254
