E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
2.769231,0.308403,-0.285633,0.079582,-0.030542,0.014286,-0.014286,0.402271,-0.330461
2.849498,0.308122,-0.297714,0.078550,-0.031021,0.013949,-0.013949,0.400621,-0.342684
2.929766,0.306304,-0.310243,0.077160,-0.031647,0.013621,-0.013621,0.397085,-0.355511
3.010033,0.302975,-0.323111,0.075418,-0.032409,0.013303,-0.013303,0.391695,-0.368823
3.090301,0.298200,-0.336195,0.073341,-0.033292,0.012992,-0.012992,0.384532,-0.382479
3.170569,0.292074,-0.349356,0.070958,-0.034278,0.012690,-0.012690,0.375722,-0.396324
3.250836,0.284724,-0.362437,0.068309,-0.035346,0.012395,-0.012395,0.365428,-0.410178
3.331104,0.276297,-0.375266,0.065439,-0.036471,0.012109,-0.012109,0.353845,-0.423846
3.411371,0.266959,-0.387655,0.062401,-0.037627,0.011829,-0.011829,0.341190,-0.437111
3.491639,0.256888,-0.399402,0.059248,-0.038783,0.011556,-0.011556,0.327693,-0.449742
3.571906,0.246265,-0.410299,0.056032,-0.039904,0.011291,-0.011291,0.313588,-0.461494
3.652174,0.235271,-0.420133,0.052805,-0.040957,0.011032,-0.011032,0.299107,-0.472122
3.732441,0.224078,-0.428694,0.049613,-0.041906,0.010779,-0.010779,0.284470,-0.481379
3.812709,0.212850,-0.435783,0.046496,-0.042717,0.010532,-0.010532,0.269879,-0.489032
3.892977,0.201733,-0.441219,0.043490,-0.043357,0.010292,-0.010292,0.255514,-0.494867
3.973244,0.190857,-0.444848,0.040621,-0.043797,0.010057,-0.010057,0.241535,-0.498702
4.053512,0.180334,-0.446548,0.037909,-0.044015,0.009828,-0.009828,0.228070,-0.500390
4.133779,0.170254,-0.446237,0.035368,-0.043992,0.009604,-0.009604,0.215226,-0.499833
4.214047,0.160690,-0.443880,0.033006,-0.043719,0.009385,-0.009385,0.203081,-0.496984
4.294314,0.151696,-0.439487,0.030824,-0.043192,0.009171,-0.009171,0.191692,-0.491851
4.374582,0.143311,-0.433117,0.028821,-0.042417,0.008963,-0.008963,0.181094,-0.484497
4.454849,0.135556,-0.424876,0.026990,-0.041406,0.008759,-0.008759,0.171305,-0.475041
4.535117,0.128442,-0.414912,0.025324,-0.040179,0.008560,-0.008560,0.162326,-0.463651
4.615385,0.121969,-0.403412,0.023812,-0.038762,0.008365,-0.008365,0.154146,-0.450539
4.695652,0.116127,-0.390594,0.022444,-0.037183,0.008174,-0.008174,0.146745,-0.435951
4.775920,0.110902,-0.376694,0.021207,-0.035477,0.007988,-0.007988,0.140097,-0.420159
4.856187,0.106273,-0.361966,0.020091,-0.033677,0.007806,-0.007806,0.134170,-0.403449
4.936455,0.102216,-0.346666,0.019083,-0.031818,0.007628,-0.007628,0.128927,-0.386111
5.016722,0.098706,-0.331044,0.018174,-0.029934,0.007453,-0.007453,0.124333,-0.368432
5.096990,0.095714,-0.315343,0.017353,-0.028056,0.007283,-0.007283,0.120350,-0.350681
5.177258,0.093214,-0.299784,0.016612,-0.026210,0.007116,-0.007116,0.116942,-0.333110
5.257525,0.091177,-0.284568,0.015942,-0.024421,0.006952,-0.006952,0.114071,-0.315941
5.337793,0.089575,-0.269868,0.015336,-0.022708,0.006792,-0.006792,0.111703,-0.299368
5.418060,0.088381,-0.255831,0.014787,-0.021085,0.006636,-0.006636,0.109804,-0.283551
5.498328,0.087567,-0.242573,0.014290,-0.019563,0.006482,-0.006482,0.108340,-0.268618
5.578595,0.087108,-0.230186,0.013839,-0.018148,0.006332,-0.006332,0.107279,-0.254666
5.658863,0.086975,-0.218733,0.013430,-0.016844,0.006185,-0.006185,0.106590,-0.241762
5.739130,0.087142,-0.208255,0.013059,-0.015652,0.006040,-0.006040,0.106242,-0.229947
5.819398,0.087580,-0.198770,0.012723,-0.014568,0.005899,-0.005899,0.106202,-0.219237
5.899666,0.088263,-0.190280,0.012417,-0.013588,0.005761,-0.005761,0.106441,-0.209629
5.979933,0.089162,-0.182770,0.012139,-0.012709,0.005625,-0.005625,0.106925,-0.201103
6.060201,0.090245,-0.176212,0.011886,-0.011922,0.005492,-0.005492,0.107623,-0.193626
6.140468,0.091485,-0.170571,0.011655,-0.011222,0.005361,-0.005361,0.108501,-0.187154
6.220736,0.092848,-0.165799,0.011444,-0.010601,0.005233,-0.005233,0.109525,-0.181634
6.301003,0.094304,-0.161846,0.011250,-0.010053,0.005108,-0.005108,0.110661,-0.177007
6.381271,0.095818,-0.158654,0.011070,-0.009571,0.004985,-0.004985,0.111873,-0.173210
6.461538,0.097358,-0.156163,0.010902,-0.009148,0.004864,-0.004864,0.113124,-0.170176
6.541806,0.098890,-0.154311,0.010744,-0.008778,0.004745,-0.004745,0.114379,-0.167834
6.622074,0.100379,-0.153031,0.010593,-0.008456,0.004629,-0.004629,0.115602,-0.166115
6.702341,0.101793,-0.152257,0.010447,-0.008175,0.004515,-0.004515,0.116755,-0.164947
6.782609,0.103097,-0.151922,0.010304,-0.007930,0.004403,-0.004403,0.117804,-0.164255
