E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-5.739130,0.154018,-0.154018,0.861540,-0.861540,3.063181,-3.063181,4.078739,-4.078739
-5.658863,0.160503,-0.160503,0.911741,-0.911741,2.869782,-2.869782,3.942027,-3.942027
-5.578595,0.166283,-0.166283,0.953849,-0.953849,2.675801,-2.675801,3.795933,-3.795933
-5.498328,0.171244,-0.171244,0.986107,-0.986107,2.483264,-2.483264,3.640615,-3.640615
-5.418060,0.175301,-0.175301,1.007121,-1.007121,2.294059,-2.294059,3.476481,-3.476481
-5.337793,0.178404,-0.178404,1.015966,-1.015966,2.109896,-2.109896,3.304266,-3.304266
-5.257525,0.180542,-0.180542,1.012265,-1.012265,1.932271,-1.932271,3.125078,-3.125078
-5.177258,0.181745,-0.181745,0.996220,-0.996220,1.762448,-1.762448,2.940413,-2.940413
-5.096990,0.182082,-0.182082,0.968597,-0.968597,1.601442,-1.601442,2.752121,-2.752121
-5.016722,0.181660,-0.181660,0.930662,-0.930662,1.450020,-1.450020,2.562342,-2.562342
-4.936455,0.180619,-0.180619,0.884077,-0.884077,1.308706,-1.308706,2.373402,-2.373402
-4.856187,0.179121,-0.179121,0.830780,-0.830780,1.177793,-1.177793,2.187694,-2.187694
-4.775920,0.177348,-0.177348,0.772837,-0.772837,1.057365,-1.057365,2.007551,-2.007551
-4.695652,0.175491,-0.175491,0.712310,-0.712310,0.947318,-0.947318,1.835119,-1.835119
-4.615385,0.173742,-0.173742,0.651131,-0.651131,0.847387,-0.847387,1.672260,-1.672260
-4.535117,0.172288,-0.172288,0.591009,-0.591009,0.757177,-0.757177,1.520473,-1.520473
-4.454849,0.171308,-0.171308,0.533362,-0.533362,0.676187,-0.676187,1.380857,-1.380857
-4.374582,0.170967,-0.170967,0.479288,-0.479288,0.603841,-0.603841,1.254096,-1.254096
-4.294314,0.171413,-0.171413,0.429557,-0.429557,0.539512,-0.539512,1.140483,-1.140483
-4.214047,0.172783,-0.172783,0.384638,-0.384638,0.482545,-0.482545,1.039966,-1.039966
-4.133779,0.175194,-0.175194,0.344737,-0.344737,0.432274,-0.432274,0.952205,-0.952205
-4.053512,0.178753,-0.178753,0.309845,-0.309845,0.388045,-0.388045,0.876644,-0.876644
-3.973244,0.183556,-0.183556,0.279796,-0.279796,0.349224,-0.349224,0.812576,-0.812576
-3.892977,0.189687,-0.189687,0.254318,-0.254318,0.315207,-0.315207,0.759213,-0.759213
-3.812709,0.197224,-0.197224,0.233075,-0.233075,0.285434,-0.285434,0.715733,-0.715733
-3.732441,0.206235,-0.206235,0.215710,-0.215710,0.259385,-0.259385,0.681329,-0.681329
-3.652174,0.216779,-0.216779,0.201870,-0.201870,0.236588,-0.236588,0.655237,-0.655237
-3.571906,0.228906,-0.228906,0.191226,-0.191226,0.216618,-0.216618,0.636750,-0.636750
-3.491639,0.242650,-0.242650,0.183482,-0.183482,0.199096,-0.199096,0.625228,-0.625228
-3.411371,0.258024,-0.258024,0.178379,-0.178379,0.183689,-0.183689,0.620092,-0.620092
-3.331104,0.275016,-0.275016,0.175694,-0.175694,0.170103,-0.170103,0.620813,-0.620813
-3.250836,0.293578,-0.293578,0.175228,-0.175228,0.158085,-0.158085,0.626891,-0.626891
-3.170569,0.313622,-0.313622,0.176801,-0.176801,0.147413,-0.147413,0.637837,-0.637837
-3.090301,0.335009,-0.335009,0.180236,-0.180236,0.137901,-0.137901,0.653146,-0.653146
-3.010033,0.357544,-0.357544,0.185348,-0.185348,0.129385,-0.129385,0.672277,-0.672277
-2.929766,0.380969,-0.380969,0.191930,-0.191930,0.121729,-0.121729,0.694628,-0.694628
-2.849498,0.404963,-0.404963,0.199745,-0.199745,0.114816,-0.114816,0.719524,-0.719524
-2.769231,0.429141,-0.429141,0.208517,-0.208517,0.108546,-0.108546,0.746204,-0.746204
-2.688963,0.453060,-0.453060,0.217928,-0.217928,0.102837,-0.102837,0.773825,-0.773825
-2.608696,0.476232,-0.476232,0.227619,-0.227619,0.097616,-0.097616,0.801468,-0.801468
