# E,dup,ddn,pup,pdn,oct,totup,totdn
7.505017,0.004126,0.028636,0.006769,0.001889,0.057445,0.039618,0.059248
7.585284,0.004016,0.027620,0.006578,0.001816,0.055903,0.038546,0.057387
7.665552,0.003908,0.026656,0.006391,0.001747,0.054388,0.037492,0.055597
7.745819,0.003801,0.025741,0.006207,0.001682,0.052898,0.036458,0.053872
7.826087,0.003696,0.024872,0.006027,0.001619,0.051435,0.035441,0.052209
7.906355,0.003593,0.024047,0.005851,0.001560,0.049996,0.034442,0.050605
7.986622,0.003492,0.023262,0.005678,0.001504,0.048582,0.033461,0.049057
8.066890,0.003392,0.022516,0.005509,0.001450,0.047191,0.032496,0.047562
8.147157,0.003294,0.021805,0.005342,0.001399,0.045824,0.031549,0.046117
8.227425,0.003198,0.021128,0.005179,0.001351,0.044480,0.030617,0.044719
8.307692,0.003103,0.020483,0.005019,0.001304,0.043158,0.029701,0.043366
8.387960,0.003010,0.019868,0.004862,0.001260,0.041858,0.028801,0.042057
8.468227,0.002919,0.019282,0.004707,0.001218,0.040579,0.027915,0.040789
8.548495,0.002829,0.018722,0.004556,0.001177,0.039321,0.027045,0.039560
8.628763,0.002740,0.018189,0.004408,0.001139,0.038083,0.026189,0.038369
8.709030,0.002653,0.017679,0.004262,0.001102,0.036865,0.025347,0.037214
8.789298,0.002567,0.017193,0.004119,0.001066,0.035667,0.024519,0.036093
8.869565,0.002482,0.016729,0.003978,0.001032,0.034488,0.023704,0.035005
8.949833,0.002399,0.016286,0.003840,0.001000,0.033328,0.022903,0.033950
9.030100,0.002317,0.015863,0.003704,0.000968,0.032186,0.022115,0.032925
9.110368,0.002237,0.015459,0.003571,0.000938,0.031062,0.021339,0.031929
9.190635,0.002157,0.015074,0.003440,0.000909,0.029956,0.020576,0.030962
9.270903,0.002079,0.014707,0.003312,0.000882,0.028867,0.019824,0.030022
9.351171,0.002002,0.014356,0.003185,0.000855,0.027795,0.019085,0.029109
9.431438,0.001927,0.014022,0.003061,0.000829,0.026739,0.018357,0.028221
9.511706,0.001852,0.013704,0.002939,0.000805,0.025699,0.017641,0.027359
9.591973,0.001779,0.013401,0.002820,0.000781,0.024676,0.016936,0.026520
9.672241,0.001706,0.013114,0.002702,0.000758,0.023667,0.016242,0.025706
9.752508,0.001635,0.012840,0.002586,0.000736,0.022675,0.015558,0.024914
9.832776,0.001565,0.012581,0.002472,0.000715,0.021697,0.014885,0.024144
9.913043,0.001495,0.012335,0.002360,0.000695,0.020733,0.014222,0.023396
9.993311,0.001427,0.012103,0.002250,0.000675,0.019784,0.013569,0.022670
10.073579,0.001360,0.011884,0.002142,0.000656,0.018849,0.012926,0.021964
10.153846,0.001294,0.011678,0.002035,0.000638,0.017928,0.012293,0.021280
10.234114,0.001228,0.011485,0.001930,0.000620,0.017020,0.011669,0.020615
10.314381,0.001164,0.011304,0.001827,0.000603,0.016126,0.011054,0.019970
10.394649,0.001101,0.011136,0.001726,0.000586,0.015245,0.010449,0.019345
10.474916,0.001038,0.010981,0.001626,0.000570,0.014376,0.009852,0.018740
10.555184,0.000976,0.010839,0.001528,0.000555,0.013520,0.009264,0.018153
10.635452,0.000916,0.010708,0.001431,0.000540,0.012676,0.008685,0.017587
10.715719,0.000856,0.010591,0.001336,0.000526,0.011844,0.008114,0.017039
10.795987,0.000797,0.010487,0.001243,0.000512,0.011024,0.007551,0.016511
10.876254,0.000738,0.010396,0.001151,0.000499,0.010215,0.006997,0.016002
10.956522,0.000681,0.010318,0.001060,0.000486,0.009418,0.006450,0.015513
11.036789,0.000624,0.010253,0.000971,0.000473,0.008632,0.005911,0.015043
11.117057,0.000568,0.010203,0.000883,0.000462,0.007857,0.005380,0.014594
11.197324,0.000513,0.010168,0.000797,0.000450,0.007093,0.004856,0.014164
11.277592,0.000459,0.010147,0.000711,0.000439,0.006339,0.004340,0.013756
11.357860,0.000405,0.010143,0.000627,0.000428,0.005596,0.003830,0.013369
11.438127,0.000352,0.010154,0.000545,0.000418,0.004863,0.003328,0.013003
11.518395,0.000300,0.010183,0.000463,0.000408,0.004139,0.002833,0.012661
11.598662,0.000248,0.010230,0.000383,0.000398,0.003426,0.002344,0.012341
11.678930,0.000197,0.010296,0.000304,0.000389,0.002722,0.001863,0.012046
11.759197,0.000147,0.010382,0.000227,0.000380,0.002028,0.001387,0.011776
11.839465,0.000097,0.010489,0.000150,0.000372,0.001343,0.000919,0.011533
11.919732,0.000048,0.010619,0.000074,0.000364,0.000667,0.000456,0.011316
12.000000,0.000000,0.010773,0.000000,0.000356,0.000000,0.000000,0.011129
