E32,I32,E12,I12
710.900000,0.500000,724.500000,0.250000
714.152000,0.084488,727.752000,0.042244
718.368000,0.088546,731.968000,0.044273
718.697000,0.174022,732.297000,0.087011
721.635000,0.021187,735.235000,0.010594
723.773000,0.025803,737.373000,0.012901
730.505000,0.000008,744.105000,0.000004
732.393000,0.000011,745.993000,0.000006
