# E,dup,ddn,pup,pdn,oct,totup,totdn
4.856187,0.496632,0.228175,0.063362,0.036231,0.046315,0.583152,0.287563
4.936455,0.461133,0.220287,0.058780,0.034922,0.045184,0.542505,0.277801
5.016722,0.425544,0.212403,0.054179,0.033617,0.044082,0.501764,0.268060
5.096990,0.390695,0.204566,0.049671,0.032323,0.043006,0.461869,0.258393
5.177258,0.357254,0.196819,0.045342,0.031048,0.041956,0.423573,0.248845
5.257525,0.325708,0.189195,0.041256,0.029797,0.040932,0.387431,0.239458
5.337793,0.296382,0.181724,0.037458,0.028575,0.039932,0.353806,0.230265
5.418060,0.269450,0.174433,0.033969,0.027384,0.038955,0.322897,0.221295
5.498328,0.244963,0.167340,0.030796,0.026229,0.038001,0.294760,0.212570
5.578595,0.222875,0.160462,0.027935,0.025112,0.037070,0.269345,0.204109
5.658863,0.203075,0.153812,0.025370,0.024033,0.036159,0.246524,0.195924
5.739130,0.185403,0.147396,0.023080,0.022995,0.035270,0.226118,0.188025
5.819398,0.169678,0.141220,0.021043,0.021996,0.034400,0.207921,0.180416
5.899666,0.155708,0.135287,0.019233,0.021038,0.033550,0.191716,0.173100
5.979933,0.143305,0.129596,0.017625,0.020120,0.032719,0.177289,0.166076
6.060201,0.132289,0.124146,0.016196,0.019242,0.031906,0.164437,0.159341
6.140468,0.122495,0.118933,0.014924,0.018402,0.031111,0.152975,0.152890
6.220736,0.113775,0.113951,0.013790,0.017599,0.030333,0.142732,0.146717
6.301003,0.105997,0.109196,0.012777,0.016833,0.029572,0.133560,0.140815
6.381271,0.099045,0.104660,0.011870,0.016101,0.028827,0.125328,0.135174
6.461538,0.092820,0.100335,0.011054,0.015403,0.028098,0.117923,0.129787
6.541806,0.087234,0.096215,0.010320,0.014738,0.027384,0.111245,0.124644
6.622074,0.082212,0.092291,0.009656,0.014103,0.026685,0.105211,0.119736
6.702341,0.077692,0.088554,0.009055,0.013497,0.026000,0.099747,0.115051
6.782609,0.073618,0.084997,0.008509,0.012919,0.025329,0.094792,0.110581
6.862876,0.069943,0.081612,0.008012,0.012368,0.024673,0.090291,0.106316
6.943144,0.066627,0.078389,0.007558,0.011842,0.024029,0.086199,0.102246
7.023411,0.063636,0.075323,0.007142,0.011340,0.023398,0.082477,0.098362
7.103679,0.060939,0.072404,0.006761,0.010861,0.022780,0.079090,0.094655
7.183946,0.058510,0.069626,0.006411,0.010403,0.022174,0.076009,0.091116
7.264214,0.056329,0.066981,0.006089,0.009966,0.021580,0.073208,0.087737
7.344482,0.054374,0.064463,0.005792,0.009548,0.020998,0.070665,0.084509
7.424749,0.052628,0.062064,0.005518,0.009148,0.020427,0.068359,0.081426
7.505017,0.051075,0.059780,0.005264,0.008766,0.019867,0.066273,0.078479
7.585284,0.049701,0.057603,0.005029,0.008400,0.019317,0.064389,0.075662
7.665552,0.048491,0.055529,0.004811,0.008050,0.018778,0.062691,0.072968
7.745819,0.047433,0.053551,0.004608,0.007715,0.018249,0.061166,0.070391
7.826087,0.046513,0.051665,0.004420,0.007394,0.017730,0.059798,0.067924
7.906355,0.045719,0.049866,0.004244,0.007086,0.017221,0.058574,0.065562
7.986622,0.045038,0.048150,0.004081,0.006790,0.016721,0.057480,0.063300
8.066890,0.044460,0.046511,0.003928,0.006507,0.016231,0.056503,0.061133
8.147157,0.043973,0.044946,0.003785,0.006234,0.015749,0.055632,0.059055
8.227425,0.043567,0.043451,0.003651,0.005973,0.015276,0.054856,0.057062
8.307692,0.043233,0.042023,0.003525,0.005722,0.014811,0.054163,0.055150
8.387960,0.042963,0.040657,0.003407,0.005480,0.014355,0.053547,0.053315
8.468227,0.042751,0.039351,0.003296,0.005248,0.013907,0.053000,0.051553
8.548495,0.042592,0.038101,0.003191,0.005025,0.013467,0.052517,0.049859
8.628763,0.042482,0.036905,0.003093,0.004810,0.013034,0.052092,0.048232
8.709030,0.042419,0.035759,0.003000,0.004603,0.012609,0.051723,0.046666
8.789298,0.042398,0.034660,0.002912,0.004403,0.012192,0.051405,0.045159
8.869565,0.042417,0.033607,0.002829,0.004211,0.011781,0.051136,0.043709
8.949833,0.042471,0.032597,0.002750,0.004026,0.011378,0.050910,0.042311
9.030100,0.042555,0.031627,0.002676,0.003847,0.010981,0.050722,0.040964
9.110368,0.042660,0.030695,0.002605,0.003674,0.010592,0.050561,0.039665
9.190635,0.042776,0.029799,0.002539,0.003508,0.010208,0.050419,0.038411
9.270903,0.042890,0.028937,0.002475,0.003347,0.009832,0.050281,0.037200
9.351171,0.042988,0.028108,0.002414,0.003192,0.009461,0.050132,0.036030
9.431438,0.043053,0.027309,0.002356,0.003042,0.009097,0.049957,0.034899
9.511706,0.043068,0.026539,0.002300,0.002897,0.008738,0.049737,0.033805
9.591973,0.043019,0.025797,0.002245,0.002756,0.008385,0.049457,0.032746
9.672241,0.042890,0.025081,0.002192,0.002620,0.008039,0.049101,0.031720
9.752508,0.042668,0.024390,0.002140,0.002489,0.007697,0.048657,0.030727
9.832776,0.042347,0.023723,0.002089,0.002362,0.007362,0.048117,0.029765
9.913043,0.041921,0.023078,0.002039,0.002239,0.007031,0.047476,0.028833
9.993311,0.041393,0.022456,0.001990,0.002119,0.006706,0.046735,0.027929
10.073579,0.040766,0.021856,0.001941,0.002004,0.006386,0.045900,0.027052
10.153846,0.040051,0.021276,0.001893,0.001891,0.006071,0.044979,0.026202
10.234114,0.039262,0.020716,0.001846,0.001783,0.005761,0.043989,0.025379
10.314381,0.038416,0.020175,0.001801,0.001677,0.005455,0.042945,0.024580
10.394649,0.037534,0.019653,0.001756,0.001575,0.005155,0.041868,0.023805
10.474916,0.036635,0.019149,0.001713,0.001475,0.004859,0.040778,0.023054
10.555184,0.035741,0.018663,0.001673,0.001379,0.004567,0.039697,0.022325
10.635452,0.034871,0.018194,0.001634,0.001285,0.004280,0.038645,0.021619
10.715719,0.034046,0.017741,0.001597,0.001193,0.003998,0.037642,0.020934
10.795987,0.033281,0.017304,0.001563,0.001105,0.003719,0.036704,0.020269
10.876254,0.032590,0.016883,0.001532,0.001018,0.003445,0.035845,0.019623
10.956522,0.031986,0.016475,0.001503,0.000934,0.003175,0.035077,0.018996
11.036789,0.031477,0.016080,0.001478,0.000852,0.002909,0.034409,0.018387
11.117057,0.031068,0.015698,0.001455,0.000772,0.002647,0.033846,0.017793
11.197324,0.030762,0.015328,0.001435,0.000694,0.002388,0.033391,0.017216
11.277592,0.030558,0.014967,0.001418,0.000618,0.002134,0.033043,0.016652
11.357860,0.030456,0.014616,0.001404,0.000543,0.001883,0.032801,0.016101
11.438127,0.030449,0.014273,0.001391,0.000470,0.001635,0.032658,0.015561
11.518395,0.030532,0.013937,0.001381,0.000399,0.001392,0.032609,0.015032
11.598662,0.030695,0.013607,0.001373,0.000329,0.001151,0.032643,0.014512
11.678930,0.030928,0.013281,0.001366,0.000261,0.000915,0.032751,0.013999
11.759197,0.031221,0.012958,0.001360,0.000194,0.000681,0.032921,0.013492
11.839465,0.031560,0.012637,0.001355,0.000128,0.000451,0.033140,0.012990
11.919732,0.031934,0.012316,0.001349,0.000064,0.000224,0.033395,0.012492
12.000000,0.032329,0.011995,0.001344,0.000000,0.000000,0.033673,0.011995
