E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
2.608696,0.002409,-0.971934,0.004816,-0.056727,0.006625,-0.006625,0.013850,-1.035286
2.688963,0.002345,-1.043492,0.004672,-0.063615,0.006445,-0.006445,0.013462,-1.113552
2.769231,0.002282,-1.119435,0.004534,-0.070503,0.006272,-0.006272,0.013088,-1.196211
2.849498,0.002221,-1.190950,0.004400,-0.076813,0.006104,-0.006104,0.012726,-1.273866
2.929766,0.002163,-1.249631,0.004272,-0.081976,0.005942,-0.005942,0.012377,-1.337548
3.010033,0.002106,-1.288285,0.004148,-0.085500,0.005785,-0.005785,0.012039,-1.379569
3.090301,0.002052,-1.301651,0.004029,-0.087026,0.005632,-0.005632,0.011713,-1.394310
3.170569,0.001999,-1.286934,0.003914,-0.086374,0.005485,-0.005485,0.011397,-1.378793
3.250836,0.001947,-1.244036,0.003803,-0.083563,0.005342,-0.005342,0.011092,-1.332941
3.331104,0.001897,-1.175443,0.003696,-0.078806,0.005203,-0.005203,0.010797,-1.259452
3.411371,0.001849,-1.085776,0.003592,-0.072472,0.005069,-0.005069,0.010510,-1.163317
3.491639,0.001802,-0.981090,0.003492,-0.065037,0.004938,-0.004938,0.010233,-1.051065
3.571906,0.001757,-0.868053,0.003395,-0.057016,0.004812,-0.004812,0.009964,-0.929881
3.652174,0.001713,-0.753145,0.003302,-0.048902,0.004689,-0.004689,0.009704,-0.806736
3.732441,0.001670,-0.641995,0.003211,-0.041114,0.004570,-0.004570,0.009451,-0.687678
3.812709,0.001629,-0.538946,0.003123,-0.033969,0.004454,-0.004454,0.009206,-0.577369
3.892977,0.001588,-0.446874,0.003039,-0.027667,0.004341,-0.004341,0.008968,-0.478882
3.973244,0.001549,-0.367225,0.002956,-0.022298,0.004232,-0.004232,0.008738,-0.393754
4.053512,0.001511,-0.300229,0.002877,-0.017860,0.004126,-0.004126,0.008513,-0.322215
4.133779,0.001474,-0.245203,0.002799,-0.014288,0.004022,-0.004022,0.008296,-0.263512
4.214047,0.001438,-0.200876,0.002725,-0.011473,0.003921,-0.003921,0.008084,-0.216270
4.294314,0.001403,-0.165689,0.002652,-0.009291,0.003824,-0.003824,0.007878,-0.178804
