# E,I32,I12,Ibg,Itot
721.237458,0.134328,0.036826,0.144275,0.313420
721.404682,0.128463,0.043442,0.145889,0.315787
721.571906,0.122788,0.051806,0.147521,0.320114
721.739130,0.117326,0.062309,0.149220,0.326867
721.906355,0.112089,0.075370,0.150927,0.336417
722.073579,0.107086,0.091403,0.152691,0.349237
722.240803,0.102319,0.110781,0.154514,0.365706
722.408027,0.097785,0.133785,0.156381,0.386089
722.575251,0.093481,0.160551,0.158314,0.410538
722.742475,0.089397,0.191006,0.160325,0.438984
722.909699,0.085525,0.224820,0.162418,0.471091
723.076923,0.081852,0.261366,0.164565,0.506192
723.244147,0.078370,0.299705,0.166741,0.543308
723.411371,0.075064,0.338606,0.168961,0.581209
723.578595,0.071925,0.376593,0.171245,0.618426
723.745819,0.068941,0.412041,0.173595,0.653319
723.913043,0.066101,0.443285,0.175962,0.684159
724.080268,0.063396,0.468761,0.178354,0.709377
724.247492,0.060817,0.487144,0.180732,0.727598
724.414716,0.058356,0.497475,0.183139,0.737893
724.581940,0.056004,0.499253,0.185542,0.739721
724.749164,0.053756,0.492488,0.187906,0.733049
724.916388,0.051604,0.477697,0.190234,0.718395
725.083612,0.049544,0.455858,0.192499,0.696703
725.250836,0.047571,0.428310,0.194734,0.669345
725.418060,0.045681,0.396628,0.196979,0.637936
725.585284,0.043869,0.362482,0.199163,0.604076
725.752508,0.042132,0.327501,0.201318,0.569424
725.919732,0.040468,0.293150,0.203453,0.535455
726.086957,0.038872,0.260644,0.205585,0.503403
726.254181,0.037342,0.230894,0.207637,0.474100
726.421405,0.035877,0.204493,0.209634,0.448163
726.588629,0.034473,0.181724,0.211570,0.425866
726.755853,0.033128,0.162608,0.213545,0.407332
726.923077,0.031841,0.146956,0.215457,0.392264
727.090301,0.030608,0.134432,0.217341,0.380358
727.257525,0.029429,0.124611,0.219169,0.371158
727.424749,0.028300,0.117035,0.220982,0.364246
727.591973,0.027221,0.111256,0.222780,0.359169
727.759197,0.026189,0.106865,0.224590,0.355543
727.926421,0.025202,0.103512,0.226354,0.352956
728.093645,0.024258,0.100913,0.228110,0.351161
728.260870,0.023356,0.098855,0.229792,0.349875
728.428094,0.022493,0.097185,0.231523,0.349068
728.595318,0.021669,0.095806,0.233258,0.348594
728.762542,0.020881,0.094664,0.234994,0.348395
728.929766,0.020127,0.093735,0.236677,0.348392
729.096990,0.019407,0.093020,0.238378,0.348653
729.264214,0.018717,0.092527,0.240059,0.349150
729.431438,0.018058,0.092272,0.241659,0.349833
729.598662,0.017428,0.092267,0.243270,0.350807
729.765886,0.016824,0.092517,0.244873,0.352055
729.933110,0.016247,0.093017,0.246490,0.353594
730.100334,0.015693,0.093752,0.248094,0.355381
730.267559,0.015164,0.094697,0.249711,0.357414
730.434783,0.014656,0.095814,0.251251,0.359565
730.602007,0.014169,0.097059,0.252845,0.361919
730.769231,0.013703,0.098378,0.254410,0.364339
730.936455,0.013255,0.099715,0.255929,0.366748
731.103679,0.012825,0.101008,0.257468,0.369154
