E,Id,Ip,Ioct,Itot,Ibg
4.367893,0.057808,0.016762,0.704072,0.778426,nan
4.424749,0.066323,0.019152,0.713803,0.799082,nan
4.481605,0.076612,0.022065,0.720890,0.819390,nan
4.538462,0.088669,0.025504,0.725393,0.839410,nan
4.595318,0.102432,0.029458,0.727423,0.859175,nan
4.652174,0.117766,0.033896,0.727133,0.878676,nan
4.709030,0.134446,0.038764,0.724719,0.897829,nan
4.765886,0.152158,0.043979,0.720407,0.916463,nan
4.822742,0.170491,0.049434,0.714448,0.934309,nan
4.879599,0.188949,0.054994,0.707108,0.951003,nan
4.936455,0.206969,0.060502,0.698656,0.966094,nan
4.993311,0.223946,0.065787,0.689359,0.979072,nan
5.050167,0.239267,0.070670,0.679468,0.989395,nan
5.107023,0.252345,0.074976,0.669213,0.996531,nan
5.163880,0.262663,0.078544,0.658793,1.000000,nan
5.220736,0.269802,0.081237,0.648371,0.999410,nan
5.277592,0.273477,0.082952,0.638071,0.994495,nan
5.334448,0.273550,0.083627,0.627974,0.985135,nan
5.391304,0.270044,0.083241,0.618116,0.971374,nan
5.448161,0.263138,0.081821,0.608497,0.953411,nan
5.505017,0.253150,0.079436,0.599074,0.931593,nan
5.561873,0.240514,0.076188,0.589772,0.906383,nan
5.618729,0.225746,0.072212,0.580492,0.878332,nan
5.675585,0.209412,0.067660,0.571113,0.848036,nan
5.732441,0.192088,0.062693,0.561501,0.816102,nan
5.789298,0.174328,0.057474,0.551521,0.783111,nan
5.846154,0.156640,0.052155,0.541040,0.749590,nan
5.903010,0.139460,0.046876,0.529936,0.715994,nan
5.959866,0.123143,0.041752,0.518105,0.682690,nan
6.016722,0.107959,0.036880,0.505465,0.649963,nan
6.073579,0.094091,0.032331,0.491960,0.618009,nan
6.130435,0.081643,0.028154,0.477563,0.586957,nan
6.187291,0.070654,0.024374,0.462277,0.556872,nan
6.244147,0.061103,0.021003,0.446133,0.527778,nan
6.301003,0.052931,0.018034,0.429190,0.499666,nan
6.357860,0.046043,0.015450,0.411532,0.472510,nan
6.414716,0.040327,0.013225,0.393265,0.446277,nan
6.471572,0.035659,0.011330,0.374509,0.420933,nan
6.528428,0.031912,0.009730,0.355397,0.396451,nan
6.585284,0.028959,0.008390,0.336073,0.372810,nan
6.642140,0.026679,0.007276,0.316678,0.349999,nan
6.698997,0.024958,0.006355,0.297355,0.328013,nan
6.755853,0.023694,0.005596,0.278242,0.306857,nan
6.812709,0.022795,0.004972,0.259466,0.286537,nan
6.869565,0.022179,0.004459,0.241144,0.267068,nan
6.926421,0.021779,0.004036,0.223379,0.248460,nan
6.983278,0.021536,0.003684,0.206260,0.230730,nan
7.040134,0.021406,0.003388,0.189860,0.213887,nan
7.096990,0.021350,0.003138,0.174238,0.197943,nan
7.153846,0.021342,0.002922,0.159437,0.182903,nan
7.210702,0.021360,0.002733,0.145484,0.168767,nan
7.267559,0.021390,0.002566,0.132398,0.155530,nan
7.324415,0.021419,0.002416,0.120180,0.143179,nan
7.381271,0.021438,0.002280,0.108825,0.131696,nan
7.438127,0.021439,0.002155,0.098318,0.121055,nan
7.494983,0.021414,0.002040,0.088635,0.111222,nan
7.551839,0.021356,0.001932,0.079748,0.102161,nan
7.608696,0.021257,0.001832,0.071624,0.093829,nan
7.665552,0.021112,0.001738,0.064223,0.086182,nan
7.722408,0.020918,0.001649,0.057508,0.079177,nan
7.779264,0.020674,0.001565,0.051435,0.072769,nan
7.836120,0.020383,0.001486,0.045962,0.066920,nan
7.892977,0.020050,0.001410,0.041046,0.061591,nan
7.949833,0.019687,0.001338,0.036646,0.056751,nan
8.006689,0.019305,0.001270,0.032718,0.052369,nan
8.063545,0.018919,0.001206,0.029223,0.048420,nan
8.120401,0.018542,0.001146,0.026123,0.044878,nan
8.177258,0.018186,0.001089,0.023379,0.041719,nan
8.234114,0.017860,0.001036,0.020956,0.038915,nan
8.290970,0.017569,0.000988,0.018822,0.036439,nan
8.347826,0.017311,0.000942,0.016947,0.034258,nan
8.404682,0.017081,0.000901,0.015300,0.032338,nan
8.461538,0.016868,0.000862,0.013856,0.030641,nan
8.518395,0.016658,0.000826,0.012591,0.029129,nan
8.575251,0.016437,0.000793,0.011484,0.027765,nan
8.632107,0.016189,0.000761,0.010513,0.026514,nan
8.688963,0.015901,0.000731,0.009663,0.025344,nan
8.745819,0.015564,0.000702,0.008916,0.024230,nan
8.802676,0.015176,0.000674,0.008259,0.023156,nan
8.859532,0.014738,0.000646,0.007680,0.022111,nan
8.916388,0.014261,0.000619,0.007168,0.021094,nan
8.973244,0.013759,0.000593,0.006713,0.020110,nan
9.030100,0.013252,0.000568,0.006308,0.019172,nan
9.086957,0.012763,0.000544,0.005945,0.018295,nan
9.143813,0.012317,0.000522,0.005619,0.017500,nan
9.200669,0.011938,0.000502,0.005324,0.016805,nan
9.257525,0.011649,0.000484,0.005057,0.016230,nan
9.314381,0.011470,0.000470,0.004812,0.015792,nan
9.371237,0.011416,0.000458,0.004588,0.015502,nan
9.428094,0.011499,0.000450,0.004382,0.015370,nan
9.484950,0.011726,0.000445,0.004191,0.015401,nan
9.541806,0.012097,0.000445,0.004013,0.015594,nan
9.598662,0.012610,0.000449,0.003848,0.015947,nan
9.655518,0.013261,0.000457,0.003693,0.016452,nan
9.712375,0.014042,0.000470,0.003547,0.017100,nan
9.769231,0.014941,0.000487,0.003410,0.017881,nan
9.826087,0.015949,0.000509,0.003281,0.018782,nan
9.882943,0.017052,0.000535,0.003158,0.019789,nan
9.939799,0.018235,0.000566,0.003042,0.020888,nan
9.996656,0.019481,0.000600,0.002932,0.022059,nan
10.053512,0.020770,0.000637,0.002827,0.023282,nan
10.110368,0.022080,0.000677,0.002727,0.024533,nan
10.167224,0.023383,0.000718,0.002632,0.025783,nan
10.224080,0.024649,0.000760,0.002541,0.027000,nan
10.280936,0.025844,0.000800,0.002453,0.028149,nan
10.337793,0.026933,0.000837,0.002370,0.029193,nan
10.394649,0.027879,0.000870,0.002290,0.030094,nan
10.451505,0.028651,0.000898,0.002213,0.030817,nan
10.508361,0.029219,0.000919,0.002139,0.031332,nan
10.565217,0.029563,0.000932,0.002069,0.031618,nan
10.622074,0.029673,0.000937,0.002000,0.031665,nan
10.678930,0.029551,0.000933,0.001935,0.031474,nan
10.735786,0.029214,0.000921,0.001872,0.031061,nan
10.792642,0.028691,0.000901,0.001811,0.030458,nan
10.849498,0.028026,0.000875,0.001753,0.029707,nan
10.906355,0.027272,0.000844,0.001696,0.028865,nan
10.963211,0.026491,0.000811,0.001642,0.027995,nan
11.020067,0.025750,0.000776,0.001589,0.027166,nan
11.076923,0.025116,0.000742,0.001538,0.026447,nan
11.133779,0.024653,0.000711,0.001489,0.025903,nan
11.190635,0.024418,0.000685,0.001441,0.025593,nan
11.247492,0.024454,0.000665,0.001395,0.025563,nan
11.304348,0.024795,0.000651,0.001351,0.025846,nan
11.361204,0.025455,0.000645,0.001308,0.026458,nan
11.418060,0.026436,0.000646,0.001266,0.027399,nan
11.474916,0.027720,0.000653,0.001225,0.028652,nan
11.531773,0.029279,0.000667,0.001186,0.030186,nan
11.588629,0.031070,0.000686,0.001148,0.031959,nan
11.645485,0.033044,0.000707,0.001111,0.033920,nan
11.702341,0.035149,0.000730,0.001075,0.036013,nan
11.759197,0.037334,0.000752,0.001041,0.038188,nan
11.816054,0.039555,0.000772,0.001007,0.040398,nan
11.872910,0.041779,0.000789,0.000974,0.042608,nan
11.929766,0.043988,0.000801,0.000942,0.044799,nan
11.986622,0.046179,0.000807,0.000911,0.046968,nan
12.043478,0.048366,0.000808,0.000881,0.049127,nan
12.100334,0.050578,0.000802,0.000852,0.051306,nan
12.157191,0.052854,0.000791,0.000823,0.053545,nan
12.214047,0.055239,0.000775,0.000795,0.055888,nan
12.270903,0.057775,0.000755,0.000768,0.058379,nan
12.327759,0.060496,0.000732,0.000742,0.061054,nan
12.384615,0.063418,0.000708,0.000716,0.063929,nan
12.441472,0.066538,0.000683,0.000692,0.067002,nan
12.498328,0.069823,0.000659,0.000667,0.070242,nan
12.555184,0.073215,0.000636,0.000643,0.073591,nan
12.612040,0.076630,0.000615,0.000620,0.076966,nan
12.668896,0.079962,0.000596,0.000598,0.080259,nan
12.725753,0.083091,0.000579,0.000576,0.083351,nan
12.782609,0.085892,0.000563,0.000554,0.086117,nan
12.839465,0.088246,0.000548,0.000533,0.088438,nan
12.896321,0.090050,0.000534,0.000513,0.090208,nan
12.953177,0.091225,0.000519,0.000493,0.091350,nan
13.010033,0.091724,0.000504,0.000473,0.091816,nan
13.066890,0.091536,0.000489,0.000454,0.091593,nan
13.123746,0.090684,0.000472,0.000436,0.090705,nan
13.180602,0.089224,0.000454,0.000417,0.089207,nan
13.237458,0.087236,0.000435,0.000400,0.087181,nan
13.294314,0.084821,0.000416,0.000382,0.084726,nan
13.351171,0.082083,0.000396,0.000365,0.081949,nan
13.408027,0.079129,0.000376,0.000349,0.078955,nan
13.464883,0.076052,0.000356,0.000333,0.075839,nan
13.521739,0.072931,0.000337,0.000317,0.072680,nan
13.578595,0.069824,0.000318,0.000301,0.069535,nan
13.635452,0.066765,0.000300,0.000286,0.066441,nan
13.692308,0.063772,0.000283,0.000271,0.063413,nan
13.749164,0.060844,0.000267,0.000256,0.060451,nan
13.806020,0.057971,0.000251,0.000242,0.057545,nan
13.862876,0.055137,0.000235,0.000228,0.054678,nan
13.919732,0.052328,0.000220,0.000214,0.051838,nan
13.976589,0.049536,0.000205,0.000201,0.049014,nan
14.033445,0.046761,0.000190,0.000188,0.046209,nan
14.090301,0.044017,0.000175,0.000175,0.043434,nan
14.147157,0.041326,0.000160,0.000162,0.040713,nan
14.204013,0.038721,0.000145,0.000150,0.038078,nan
14.260870,0.036242,0.000130,0.000138,0.035569,nan
14.317726,0.033930,0.000115,0.000126,0.033228,nan
14.374582,0.031826,0.000101,0.000114,0.031096,nan
14.431438,0.029967,0.000087,0.000103,0.029210,nan
14.488294,0.028378,0.000074,0.000092,0.027595,nan
14.545151,0.027077,0.000062,0.000081,0.026269,nan
14.602007,0.026065,0.000050,0.000070,0.025235,nan
14.658863,0.025333,0.000040,0.000059,0.024481,nan
14.715719,0.024858,0.000031,0.000049,0.023986,nan
14.772575,0.024605,0.000023,0.000039,0.023714,nan
14.829431,0.024529,0.000016,0.000029,0.023621,nan
14.886288,0.024580,0.000010,0.000019,0.023657,nan
14.943144,0.024704,0.000005,0.000009,0.023766,nan
15.000000,0.024845,0.000000,0.000000,0.023893,nan
