E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
8.869565,0.000580,-0.007393,0.000620,-0.000391,0.001106,-0.001106,0.002306,-0.008890
8.949833,0.000554,-0.007117,0.000597,-0.000374,0.001068,-0.001068,0.002219,-0.008559
9.030100,0.000528,-0.006858,0.000575,-0.000359,0.001031,-0.001031,0.002133,-0.008248
9.110368,0.000502,-0.006615,0.000554,-0.000344,0.000994,-0.000994,0.002050,-0.007953
9.190635,0.000478,-0.006387,0.000532,-0.000331,0.000957,-0.000957,0.001968,-0.007675
9.270903,0.000454,-0.006172,0.000512,-0.000318,0.000922,-0.000922,0.001887,-0.007412
9.351171,0.000431,-0.005970,0.000491,-0.000306,0.000887,-0.000887,0.001809,-0.007163
9.431438,0.000408,-0.005779,0.000471,-0.000294,0.000853,-0.000853,0.001732,-0.006926
9.511706,0.000386,-0.005600,0.000452,-0.000284,0.000819,-0.000819,0.001657,-0.006702
9.591973,0.000365,-0.005431,0.000433,-0.000273,0.000785,-0.000785,0.001583,-0.006490
9.672241,0.000344,-0.005272,0.000414,-0.000264,0.000753,-0.000753,0.001511,-0.006288
9.752508,0.000324,-0.005121,0.000396,-0.000254,0.000721,-0.000721,0.001440,-0.006096
9.832776,0.000304,-0.004980,0.000378,-0.000246,0.000689,-0.000689,0.001371,-0.005914
9.913043,0.000286,-0.004846,0.000360,-0.000237,0.000658,-0.000658,0.001303,-0.005741
9.993311,0.000267,-0.004720,0.000343,-0.000230,0.000627,-0.000627,0.001237,-0.005577
10.073579,0.000249,-0.004601,0.000326,-0.000222,0.000597,-0.000597,0.001172,-0.005420
10.153846,0.000232,-0.004489,0.000309,-0.000215,0.000568,-0.000568,0.001109,-0.005272
10.234114,0.000215,-0.004384,0.000293,-0.000208,0.000539,-0.000539,0.001047,-0.005131
10.314381,0.000199,-0.004285,0.000277,-0.000202,0.000510,-0.000510,0.000986,-0.004996
10.394649,0.000184,-0.004192,0.000261,-0.000195,0.000482,-0.000482,0.000926,-0.004869
10.474916,0.000169,-0.004105,0.000246,-0.000189,0.000454,-0.000454,0.000868,-0.004748
10.555184,0.000154,-0.004023,0.000230,-0.000184,0.000427,-0.000427,0.000811,-0.004634
10.635452,0.000140,-0.003947,0.000216,-0.000178,0.000400,-0.000400,0.000756,-0.004525
10.715719,0.000127,-0.003876,0.000201,-0.000173,0.000373,-0.000373,0.000701,-0.004423
10.795987,0.000114,-0.003810,0.000187,-0.000168,0.000347,-0.000347,0.000648,-0.004326
10.876254,0.000102,-0.003749,0.000173,-0.000164,0.000322,-0.000322,0.000596,-0.004235
10.956522,0.000090,-0.003694,0.000159,-0.000159,0.000296,-0.000296,0.000545,-0.004149
11.036789,0.000079,-0.003643,0.000145,-0.000155,0.000271,-0.000271,0.000496,-0.004069
11.117057,0.000069,-0.003596,0.000132,-0.000151,0.000247,-0.000247,0.000447,-0.003994
11.197324,0.000059,-0.003555,0.000119,-0.000147,0.000223,-0.000223,0.000400,-0.003925
11.277592,0.000050,-0.003518,0.000106,-0.000143,0.000199,-0.000199,0.000354,-0.003860
11.357860,0.000041,-0.003487,0.000093,-0.000139,0.000175,-0.000175,0.000310,-0.003801
11.438127,0.000033,-0.003460,0.000081,-0.000136,0.000152,-0.000152,0.000267,-0.003748
11.518395,0.000026,-0.003438,0.000069,-0.000133,0.000130,-0.000130,0.000224,-0.003700
11.598662,0.000019,-0.003421,0.000057,-0.000130,0.000107,-0.000107,0.000184,-0.003657
11.678930,0.000014,-0.003409,0.000045,-0.000127,0.000085,-0.000085,0.000144,-0.003621
11.759197,0.000009,-0.003402,0.000034,-0.000124,0.000063,-0.000063,0.000106,-0.003590
11.839465,0.000005,-0.003402,0.000022,-0.000121,0.000042,-0.000042,0.000069,-0.003565
11.919732,0.000002,-0.003407,0.000011,-0.000118,0.000021,-0.000021,0.000034,-0.003546
12.000000,0.000000,-0.003418,0.000000,-0.000116,0.000000,-0.000000,0.000000,-0.003534
