E,Id,Ip,Ioct,Itot,Ibg
3.682274,0.074169,0.002525,0.011537,0.088202,nan
3.742475,0.070169,0.002716,0.012490,0.085345,nan
3.802676,0.067388,0.002945,0.013556,0.083859,nan
3.862876,0.065708,0.003218,0.014748,0.083644,nan
3.923077,0.065041,0.003537,0.016081,0.084630,nan
3.983278,0.065322,0.003907,0.017572,0.086771,nan
4.043478,0.066503,0.004332,0.019237,0.090043,nan
4.103679,0.068555,0.004817,0.021094,0.094436,nan
4.163880,0.071454,0.005364,0.023162,0.099950,nan
4.224080,0.075180,0.005978,0.025461,0.106589,nan
4.284281,0.079714,0.006659,0.028011,0.114355,nan
4.344482,0.085026,0.007409,0.030833,0.123239,nan
4.404682,0.091078,0.008224,0.033948,0.133222,nan
4.464883,0.097812,0.009102,0.037376,0.144263,nan
4.525084,0.105155,0.010036,0.041137,0.156301,nan
4.585284,0.113007,0.011016,0.045251,0.169247,nan
4.645485,0.121246,0.012030,0.049733,0.182983,nan
4.705686,0.129728,0.013063,0.054601,0.197366,nan
4.765886,0.138284,0.014098,0.059866,0.212222,nan
4.826087,0.146729,0.015113,0.065539,0.227356,nan
4.886288,0.154863,0.016088,0.071626,0.242552,nan
4.946488,0.162480,0.017000,0.078130,0.257585,nan
5.006689,0.169375,0.017827,0.085047,0.272224,nan
5.066890,0.175350,0.018547,0.092371,0.286244,nan
5.127090,0.180227,0.019141,0.100089,0.299433,nan
5.187291,0.183852,0.019592,0.108183,0.311604,nan
5.247492,0.186106,0.019886,0.116629,0.322600,nan
5.307692,0.186909,0.020017,0.125397,0.332300,nan
5.367893,0.186222,0.019978,0.134450,0.340629,nan
5.428094,0.184054,0.019772,0.143747,0.347552,nan
5.488294,0.180456,0.019404,0.153241,0.353080,nan
5.548495,0.175522,0.018885,0.162878,0.357264,nan
5.608696,0.169382,0.018230,0.172602,0.360194,nan
5.668896,0.162198,0.017456,0.182352,0.361985,nan
5.729097,0.154150,0.016585,0.192063,0.362778,nan
5.789298,0.145436,0.015637,0.201670,0.362723,nan
5.849498,0.136256,0.014636,0.211106,0.361978,nan
5.909699,0.126809,0.013604,0.220302,0.360694,nan
5.969900,0.117280,0.012561,0.229193,0.359014,nan
6.030100,0.107841,0.011527,0.237715,0.357062,nan
6.090301,0.098639,0.010518,0.245807,0.354944,nan
6.150502,0.089799,0.009548,0.253414,0.352740,nan
6.210702,0.081419,0.008629,0.260484,0.350510,nan
6.270903,0.073571,0.007767,0.266973,0.348290,nan
6.331104,0.066302,0.006969,0.272844,0.346094,nan
6.391304,0.059638,0.006237,0.278068,0.343921,nan
6.451505,0.053584,0.005572,0.282621,0.341756,nan
6.511706,0.048130,0.004972,0.286492,0.339573,nan
6.571906,0.043252,0.004436,0.289673,0.337340,nan
6.632107,0.038916,0.003960,0.292170,0.335024,nan
6.692308,0.035084,0.003539,0.293990,0.332591,nan
6.752508,0.031711,0.003168,0.295152,0.330010,nan
6.812709,0.028754,0.002842,0.295680,0.327255,nan
6.872910,0.026169,0.002557,0.295601,0.324306,nan
6.933110,0.023912,0.002308,0.294951,0.321149,nan
6.993311,0.021944,0.002090,0.293765,0.317777,nan
7.053512,0.020228,0.001900,0.292082,0.314188,nan
7.113712,0.018733,0.001733,0.289943,0.310386,nan
7.173913,0.017428,0.001586,0.287389,0.306380,nan
7.234114,0.016288,0.001457,0.284458,0.302180,nan
7.294314,0.015291,0.001344,0.281189,0.297800,nan
7.354515,0.014418,0.001243,0.277618,0.293255,nan
7.414716,0.013652,0.001153,0.273776,0.288558,nan
7.474916,0.012981,0.001073,0.269693,0.283723,nan
7.535117,0.012392,0.001001,0.265394,0.278763,nan
7.595318,0.011876,0.000936,0.260900,0.273688,nan
7.655518,0.011425,0.000877,0.256228,0.268506,nan
7.715719,0.011030,0.000824,0.251393,0.263224,nan
7.775920,0.010688,0.000776,0.246405,0.257845,nan
7.836120,0.010392,0.000732,0.241272,0.252372,nan
