E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
0.521739,0.233690,-0.652222,0.078685,-0.125867,0.013372,-0.013372,0.325747,-0.791462
0.602007,0.214352,-0.673639,0.068973,-0.126776,0.013008,-0.013008,0.296333,-0.813423
0.682274,0.197187,-0.693857,0.060892,-0.127897,0.012657,-0.012657,0.270736,-0.834411
0.762542,0.182075,-0.711949,0.054207,-0.129052,0.012318,-0.012318,0.248600,-0.853319
0.842809,0.168878,-0.726910,0.048698,-0.130013,0.011990,-0.011990,0.229567,-0.868913
0.923077,0.157444,-0.737738,0.044171,-0.130526,0.011674,-0.011674,0.213289,-0.879939
1.003344,0.147624,-0.743527,0.040457,-0.130345,0.011369,-0.011369,0.199450,-0.885241
1.083612,0.139276,-0.743551,0.037416,-0.129254,0.011074,-0.011074,0.187766,-0.883879
1.163880,0.132269,-0.737332,0.034933,-0.127099,0.010789,-0.010789,0.177991,-0.875220
1.244147,0.126487,-0.724693,0.032917,-0.123796,0.010513,-0.010513,0.169917,-0.859001
1.324415,0.121831,-0.705771,0.031296,-0.119345,0.010246,-0.010246,0.163373,-0.835362
1.404682,0.118218,-0.681015,0.030016,-0.113826,0.009987,-0.009987,0.158221,-0.804828
1.484950,0.115583,-0.651144,0.029036,-0.107391,0.009737,-0.009737,0.154356,-0.768272
1.565217,0.113879,-0.617096,0.028327,-0.100244,0.009494,-0.009494,0.151700,-0.726834
1.645485,0.113073,-0.579949,0.027872,-0.092624,0.009259,-0.009259,0.150204,-0.681833
1.725753,0.113149,-0.540850,0.027661,-0.084784,0.009031,-0.009031,0.149841,-0.634665
1.806020,0.114105,-0.500933,0.027695,-0.076966,0.008810,-0.008810,0.150610,-0.586709
1.886288,0.115954,-0.461257,0.027982,-0.069391,0.008595,-0.008595,0.152531,-0.539244
1.966555,0.118723,-0.422755,0.028537,-0.062239,0.008387,-0.008387,0.155647,-0.493381
2.046823,0.122451,-0.386195,0.029386,-0.055649,0.008185,-0.008185,0.160022,-0.450030
