E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-0.602007,0.260094,-0.260094,0.026079,-0.026079,0.048257,-0.048257,0.334430,-0.334430
-0.521739,0.276587,-0.276587,0.027760,-0.027760,0.046267,-0.046267,0.350613,-0.350613
-0.441472,0.294042,-0.294042,0.029652,-0.029652,0.044403,-0.044403,0.368098,-0.368098
-0.361204,0.312445,-0.312445,0.031769,-0.031769,0.042656,-0.042656,0.386869,-0.386869
-0.280936,0.331761,-0.331761,0.034119,-0.034119,0.041012,-0.041012,0.406892,-0.406892
-0.200669,0.351936,-0.351936,0.036709,-0.036709,0.039464,-0.039464,0.428109,-0.428109
-0.120401,0.372896,-0.372896,0.039539,-0.039539,0.038003,-0.038003,0.450437,-0.450437
-0.040134,0.394538,-0.394538,0.042603,-0.042603,0.036622,-0.036622,0.473763,-0.473763
0.040134,0.416739,-0.416739,0.045891,-0.045891,0.035315,-0.035315,0.497944,-0.497944
0.120401,0.439348,-0.439348,0.049381,-0.049381,0.034075,-0.034075,0.522804,-0.522804
0.200669,0.462190,-0.462190,0.053047,-0.053047,0.032899,-0.032899,0.548135,-0.548135
0.280936,0.485068,-0.485068,0.056850,-0.056850,0.031780,-0.031780,0.573698,-0.573698
0.361204,0.507764,-0.507764,0.060745,-0.060745,0.030716,-0.030716,0.599225,-0.599225
0.441472,0.530045,-0.530045,0.064680,-0.064680,0.029702,-0.029702,0.624427,-0.624427
0.521739,0.551665,-0.551665,0.068593,-0.068593,0.028735,-0.028735,0.648993,-0.648993
0.602007,0.572374,-0.572374,0.072420,-0.072420,0.027812,-0.027812,0.672606,-0.672606
0.682274,0.591923,-0.591923,0.076091,-0.076091,0.026930,-0.026930,0.694944,-0.694944
0.762542,0.610071,-0.610071,0.079538,-0.079538,0.026086,-0.026086,0.715695,-0.715695
0.842809,0.626592,-0.626592,0.082695,-0.082695,0.025279,-0.025279,0.734566,-0.734566
0.923077,0.641285,-0.641285,0.085499,-0.085499,0.024506,-0.024506,0.751290,-0.751290
1.003344,0.653979,-0.653979,0.087897,-0.087897,0.023765,-0.023765,0.765640,-0.765640
1.083612,0.664537,-0.664537,0.089847,-0.089847,0.023054,-0.023054,0.777438,-0.777438
1.163880,0.672866,-0.672866,0.091321,-0.091321,0.022371,-0.022371,0.786558,-0.786558
1.244147,0.678918,-0.678918,0.092304,-0.092304,0.021716,-0.021716,0.792938,-0.792938
1.324415,0.682692,-0.682692,0.092798,-0.092798,0.021086,-0.021086,0.796576,-0.796576
1.404682,0.684234,-0.684234,0.092823,-0.092823,0.020480,-0.020480,0.797537,-0.797537
1.484950,0.683637,-0.683637,0.092414,-0.092414,0.019897,-0.019897,0.795948,-0.795948
1.565217,0.681040,-0.681040,0.091621,-0.091621,0.019335,-0.019335,0.791996,-0.791996
1.645485,0.676617,-0.676617,0.090507,-0.090507,0.018794,-0.018794,0.785918,-0.785918
1.725753,0.670576,-0.670576,0.089147,-0.089147,0.018273,-0.018273,0.777996,-0.777996
1.806020,0.663151,-0.663151,0.087623,-0.087623,0.017770,-0.017770,0.768544,-0.768544
1.886288,0.654593,-0.654593,0.086019,-0.086019,0.017285,-0.017285,0.757897,-0.757897
1.966555,0.645161,-0.645161,0.084425,-0.084425,0.016817,-0.016817,0.746402,-0.746402
2.046823,0.635115,-0.635115,0.082923,-0.082923,0.016365,-0.016365,0.734403,-0.734403
2.127090,0.624706,-0.624706,0.081594,-0.081594,0.015928,-0.015928,0.722228,-0.722228
2.207358,0.614171,-0.614171,0.080508,-0.080508,0.015505,-0.015505,0.710184,-0.710184
2.287625,0.603721,-0.603721,0.079724,-0.079724,0.015097,-0.015097,0.698542,-0.698542
2.367893,0.593542,-0.593542,0.079289,-0.079289,0.014701,-0.014701,0.687532,-0.687532
2.448161,0.583785,-0.583785,0.079232,-0.079232,0.014319,-0.014319,0.677336,-0.677336
2.528428,0.574565,-0.574565,0.079571,-0.079571,0.013949,-0.013949,0.668085,-0.668085
2.608696,0.565959,-0.565959,0.080304,-0.080304,0.013590,-0.013590,0.659852,-0.659852
2.688963,0.558006,-0.558006,0.081413,-0.081413,0.013242,-0.013242,0.652662,-0.652662
2.769231,0.550708,-0.550708,0.082866,-0.082866,0.012905,-0.012905,0.646480,-0.646480
2.849498,0.544033,-0.544033,0.084615,-0.084615,0.012579,-0.012579,0.641226,-0.641226
2.929766,0.537914,-0.537914,0.086599,-0.086599,0.012262,-0.012262,0.636775,-0.636775
3.010033,0.532261,-0.532261,0.088745,-0.088745,0.011954,-0.011954,0.632961,-0.632961
