-2 0.0291262
-1.79251 0.0194175
-1.56196 0.0194175
-1.33141 0.0194175
-1.12392 0.0291262
-0.893372 0.0291262
-0.662824 0.0485437
-0.432277 0.0582524
-0.247839 0.0970874
-0.0634006 0.126214
0.121037 0.165049
0.282421 0.213592
0.351585 0.262136
0.559078 0.291262
0.743516 0.320388
0.904899 0.349515
1.13545 0.368932
1.31988 0.398058
1.48127 0.446602
1.71182 0.466019
1.91931 0.533981
2.10375 0.572816
2.28818 0.601942
2.49568 0.61165
2.70317 0.640777
2.88761 0.660194
3.0951 0.631068
3.30259 0.601942
3.48703 0.61165
3.69452 0.592233
3.92507 0.592233
4.15562 0.582524
4.34006 0.601942
4.54755 0.592233
4.7781 0.592233
4.98559 0.640777
5.17003 0.679612
5.37752 0.708738
5.56196 0.737864
5.7464 0.76699
5.93084 0.825243
5.97695 0.883495
6.16138 0.912621
6.32277 0.961165
